ascat_1,ascat_2,ascat_3,date
-63.8783,-55.2276,1,2016001
-63.8927,-55.2305,1,2016002
-63.8927,-55.2305,1,2016003
-63.8927,-55.2305,1,2016004
-63.9226,-55.4031,1,2016005
-63.8066,-55.5801,1,2016006
-63.7854,-55.0942,1,2016007
-63.5548,-55.3553,1,2016008
-63.5112,-55.2626,1,2016009
-63.5823,-55.1265,1,2016010
-63.5823,-55.1265,1,2016011
-63.5374,-54.8165,1,2016012
-63.6107,-55.1169,1,2016013
-63.8822,-54.8991,1,2016014
-63.9274,-55.1815,1,2016015
-63.9274,-55.1815,1,2016016
-63.9274,-55.1815,1,2016017
-63.9274,-55.1815,0,2016018
-63.9274,-55.1815,1,2016019
-63.9274,-55.1815,1,2016020
-63.9274,-55.1815,1,2016021
-63.9274,-55.1815,1,2016022
-63.9274,-55.1815,1,2016023
-63.9949,-55.1268,0,2016024
-64.0623,-55.072,1,2016025
-64.0623,-55.072,0,2016026
-64.0623,-55.072,1,2016027
-64.0623,-55.072,1,2016028
-63.8422,-55.2531,1,2016029
-63.8422,-55.2531,1,2016030
-63.7786,-55.2727,1,2016031
-63.7786,-55.2727,1,2016032
-63.7786,-55.2727,1,2016033
-63.7786,-55.2727,1,2016034
-63.7786,-55.2727,1,2016035
-63.7786,-55.2727,1,2016036
-63.8042,-55.2892,1,2016037
-63.8042,-55.2892,1,2016038
-63.8042,-55.2892,0,2016039
-63.8042,-55.2892,1,2016040
-63.8042,-55.2892,1,2016041
-63.7284,-55.1603,1,2016042
-63.7284,-55.1603,1,2016043
-63.7284,-55.1603,1,2016044
-63.722,-55.1762,1,2016045
-63.722,-55.1762,1,2016046
-63.722,-55.1762,1,2016047
-63.722,-55.1762,1,2016048
-63.722,-55.1762,1,2016049
-63.7689,-55.4029,1,2016050
-63.7689,-55.4029,1,2016051
-63.7689,-55.4029,1,2016052
-63.7689,-55.4029,1,2016053
-63.7689,-55.4029,1,2016054
-63.6422,-55.3223,1,2016055
-63.6422,-55.3223,1,2016056
-63.6606,-55.1088,1,2016057
-63.6606,-55.1088,1,2016058
-63.6606,-55.1088,1,2016059
-63.6606,-55.1088,1,2016060
-63.6606,-55.1088,1,2016061
-63.6606,-55.1088,1,2016062
-63.6606,-55.1088,1,2016063
-63.924,-55.436,1,2016064
-63.924,-55.436,1,2016065
-63.924,-55.436,1,2016066
-63.924,-55.436,1,2016067
-64.0494,-55.4477,1,2016068
-64.0494,-55.4477,1,2016069
-64.0494,-55.4477,1,2016070
-64.0494,-55.4477,1,2016071
-63.8154,-54.3818,1,2016072
-63.8154,-54.3818,1,2016073
-63.8047,-54.3529,1,2016074
-63.6708,-54.3099,1,2016075
-63.6197,-54.3431,1,2016076
-63.6197,-54.3431,1,2016077
-63.663,-54.4931,1,2016078
-63.663,-54.4931,1,2016079
-63.663,-54.4931,1,2016080
-63.8106,-54.4166,1,2016081
-63.8027,-54.0397,1,2016082
-63.7591,-54.0338,1,2016083
-63.7128,-54.1114,1,2016084
-63.7128,-54.1114,1,2016085
-63.6681,-53.908,1,2016086
-63.6681,-53.908,1,2016087
-63.2111,-53.3287,1,2016088
-62.994,-53.2337,1,2016089
-62.994,-53.2337,1,2016090
-62.9723,-53.1955,1,2016091
-62.8538,-53.2561,1,2016092
-62.781,-53.5378,1,2016093
-62.781,-53.5378,1,2016094
-62.7253,-53.5969,1,2016095
-62.7253,-53.5969,1,2016096
-62.6647,-53.6692,1,2016097
-62.6314,-53.4822,1,2016098
-62.5834,-53.4029,1,2016099
-62.5679,-53.4315,1,2016100
-62.4624,-53.4941,1,2016101
-62.4624,-53.4941,1,2016102
-62.3374,-53.3512,1,2016103
-62.2248,-53.2991,1,2016104
-62.1533,-53.2061,1,2016105
-62.1533,-53.2061,1,2016106
-62.015,-53.1151,1,2016107
-61.9276,-53.0766,1,2016108
-61.9286,-53.0264,1,2016109
-61.9207,-52.9372,0,2016110
-61.8998,-52.8167,0,2016111
-61.8701,-52.6942,0,2016112
-61.8357,-52.5989,1,2016113
-61.7817,-52.5399,1,2016114
-61.7254,-52.4233,1,2016115
-61.7254,-52.4233,1,2016116
-61.6591,-52.8207,1,2016117
-61.6346,-53.5282,1,2016118
-61.6346,-53.5282,1,2016119
-61.555,-53.6133,1,2016120
-61.555,-53.6133,1,2016121
-61.555,-53.6133,1,2016122
-61.4815,-52.6726,1,2016123
-61.4815,-52.6726,1,2016124
-61.4815,-52.6726,1,2016125
-61.4815,-52.6726,1,2016126
-61.4815,-52.6726,1,2016127
-61.3962,-52.8794,1,2016128
-61.1586,-51.917,1,2016129
-61.1586,-51.917,1,2016130
-61.1586,-51.917,1,2016131
-61.1586,-51.917,1,2016132
-61.0647,-52.4507,1,2016133
-61.0191,-52.3977,0,2016134
-60.9866,-52.2991,0,2016135
-60.9329,-52.2461,1,2016136
