ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,size_1,size_2
0,0,0,2011114,-66.26,143.26,1,0,0,0,34,6
0,0,0,2011115,-66.26,143.2598,0,0,0,0,0,0
0,0,0,2011116,-66.26,143.259,0,0,0,0,0,0
0,0,0,2011117,-66.26,143.2579,0,0,0,0,0,0
0,0,0,2011118,-66.26,143.2564,0,0,0,0,0,0
0,0,0,2011119,-66.26,143.2545,0,0,0,0,0,0
0,0,0,2011120,-66.26,143.2524,0,0,0,0,0,0
0,0,0,2011121,-66.26,143.25,1,0,0,0,34,6
0,0,0,2011122,-66.2611,143.2443,0,0,0,0,0,0
0,0,0,2011123,-66.264,143.2336,0,0,0,0,0,0
0,0,0,2011124,-66.2679,143.22,0,0,0,0,0,0
0,0,0,2011125,-66.2721,143.2057,0,0,0,0,0,0
0,0,0,2011126,-66.276,143.1929,0,0,0,0,0,0
0,0,0,2011127,-66.2789,143.1836,0,0,0,0,0,0
0,0,0,2011128,-66.28,143.18,1,0,0,0,35,6
0,0,0,2011129,-66.28,143.1833,0,0,0,0,0,0
0,0,0,2011130,-66.28,143.1919,0,0,0,0,0,0
0,0,0,2011131,-66.28,143.2036,0,0,0,0,0,0
0,0,0,2011132,-66.28,143.2164,0,0,0,0,0,0
0,0,0,2011133,-66.28,143.2281,0,0,0,0,0,0
0,0,0,2011134,-66.28,143.2367,0,0,0,0,0,0
0,0,0,2011135,-66.28,143.24,1,0,0,0,35,6
0,0,0,2011136,-66.2789,143.2389,0,0,0,0,0,0
0,0,0,2011137,-66.276,143.236,0,0,0,0,0,0
0,0,0,2011138,-66.2721,143.2321,0,0,0,0,0,0
0,0,0,2011139,-66.2679,143.2279,0,0,0,0,0,0
0,0,0,2011140,-66.264,143.224,0,0,0,0,0,0
0,0,0,2011141,-66.2611,143.2211,0,0,0,0,0,0
0,0,0,2011142,-66.26,143.22,1,0,0,0,34,6
0,0,0,2011143,-66.26,143.2206,0,0,0,0,0,0
0,0,0,2011144,-66.26,143.222,0,0,0,0,0,0
0,0,0,2011145,-66.26,143.2239,0,0,0,0,0,0
0,0,0,2011146,-66.26,143.2261,0,0,0,0,0,0
0,0,0,2011147,-66.26,143.228,0,0,0,0,0,0
0,0,0,2011148,-66.26,143.2294,0,0,0,0,0,0
0,0,0,2011149,-66.26,143.23,1,0,0,0,34,6
0,0,0,2011150,-66.2617,143.225,0,0,0,0,0,0
0,0,0,2011151,-66.2659,143.2122,0,0,0,0,0,0
0,0,0,2011152,-66.2718,143.1946,0,0,0,0,0,0
0,0,0,2011153,-66.2782,143.1754,0,0,0,0,0,0
0,0,0,2011154,-66.2841,143.1578,0,0,0,0,0,0
0,0,0,2011155,-66.2883,143.145,0,0,0,0,0,0
0,0,0,2011156,-66.29,143.14,1,0,0,0,33,6
0,0,0,2011157,-66.29,143.14,0,0,0,0,0,0
0,0,0,2011158,-66.29,143.14,0,0,0,0,0,0
0,0,0,2011159,-66.29,143.14,0,0,0,0,0,0
0,0,0,2011160,-66.29,143.14,0,0,0,0,0,0
0,0,0,2011161,-66.29,143.14,0,0,0,0,0,0
0,0,0,2011162,-66.29,143.14,0,0,0,0,0,0
0,0,0,2011163,-66.29,143.14,1,0,0,0,33,6
0,0,0,2011164,-66.2883,143.1422,0,0,0,0,0,0
0,0,0,2011165,-66.2841,143.1479,0,0,0,0,0,0
0,0,0,2011166,-66.2782,143.1557,0,0,0,0,0,0
0,0,0,2011167,-66.2718,143.1643,0,0,0,0,0,0
0,0,0,2011168,-66.2659,143.1721,0,0,0,0,0,0
0,0,0,2011169,-66.2617,143.1778,0,0,0,0,0,0
0,0,0,2011170,-66.26,143.18,1,0,0,0,33,6
0,0,0,2011171,-66.26,143.1792,0,0,0,0,0,0
0,0,0,2011172,-66.26,143.1772,0,0,0,0,0,0
0,0,0,2011173,-66.26,143.1742,0,0,0,0,0,0
0,0,0,2011174,-66.26,143.1707,0,0,0,0,0,0
0,0,0,2011175,-66.26,143.1669,0,0,0,0,0,0
0,0,0,2011176,-66.26,143.1632,0,0,0,0,0,0
0,0,0,2011177,-66.26,143.16,1,0,0,0,33,6
0,0,0,2011178,-66.2606,143.1568,0,0,0,0,0,0
0,0,0,2011179,-66.262,143.1531,0,0,0,0,0,0
0,0,0,2011180,-66.2639,143.1493,0,0,0,0,0,0
0,0,0,2011181,-66.2661,143.1458,0,0,0,0,0,0
0,0,0,2011182,-66.268,143.1428,0,0,0,0,0,0
0,0,0,2011183,-66.2694,143.1408,0,0,0,0,0,0
0,0,0,2011184,-66.27,143.14,1,0,0,0,33,6
0,0,0,2011185,-66.27,143.14,0,0,0,0,0,0
0,0,0,2011186,-66.27,143.14,0,0,0,0,0,0
0,0,0,2011187,-66.27,143.14,0,0,0,0,0,0
0,0,0,2011188,-66.27,143.14,0,0,0,0,0,0
0,0,0,2011189,-66.27,143.14,0,0,0,0,0,0
0,0,0,2011190,-66.27,143.14,0,0,0,0,0,0
0,0,0,2011191,-66.27,143.14,1,0,0,0,33,6
0,0,0,2011192,-66.27,143.14,0,0,0,0,0,0
0,0,0,2011193,-66.27,143.14,0,0,0,0,0,0
0,0,0,2011194,-66.27,143.14,0,0,0,0,0,0
0,0,0,2011195,-66.27,143.14,0,0,0,0,0,0
0,0,0,2011196,-66.27,143.14,0,0,0,0,0,0
0,0,0,2011197,-66.27,143.14,0,0,0,0,0,0
0,0,0,2011198,-66.27,143.14,1,0,0,0,33,6
0,0,0,2011199,-66.2691,143.1417,0,0,0,0,0,0
0,0,0,2011200,-66.2668,143.1464,0,0,0,0,0,0
0,0,0,2011201,-66.2635,143.1529,0,0,0,0,0,0
0,0,0,2011202,-66.2597,143.1605,0,0,0,0,0,0
0,0,0,2011203,-66.2559,143.1682,0,0,0,0,0,0
0,0,0,2011204,-66.2525,143.175,0,0,0,0,0,0
0,0,0,2011205,-66.25,143.18,1,0,0,0,33,6
0,0,0,2011206,-66.2483,143.1834,0,0,0,0,0,0
0,0,0,2011207,-66.2469,143.1863,0,0,0,0,0,0
0,0,0,2011208,-66.2458,143.1888,0,0,0,0,0,0
0,0,0,2011209,-66.2446,143.1912,0,0,0,0,0,0
0,0,0,2011210,-66.2434,143.1937,0,0,0,0,0,0
0,0,0,2011211,-66.2419,143.1966,0,0,0,0,0,0
0,0,0,2011212,-66.24,143.2,1,0,0,0,33,6
0,0,0,2011213,-66.2368,143.205,0,0,0,0,0,0
0,0,0,2011214,-66.2319,143.2118,0,0,0,0,0,0
0,0,0,2011215,-66.2261,143.2195,0,0,0,0,0,0
0,0,0,2011216,-66.2202,143.2271,0,0,0,0,0,0
0,0,0,2011217,-66.2151,143.2336,0,0,0,0,0,0
0,0,0,2011218,-66.2114,143.2383,0,0,0,0,0,0
0,0,0,2011219,-66.21,143.24,1,0,0,0,33,6
0,0,0,2011220,-66.2104,143.2383,0,0,0,0,0,0
0,0,0,2011221,-66.2114,143.2341,0,0,0,0,0,0
0,0,0,2011222,-66.2129,143.2282,0,0,0,0,0,0
0,0,0,2011223,-66.2147,143.2218,0,0,0,0,0,0
0,0,0,2011224,-66.2166,143.2159,0,0,0,0,0,0
0,0,0,2011225,-66.2184,143.2117,0,0,0,0,0,0
0,0,0,2011226,-66.22,143.21,1,0,0,0,33,6
0,0,0,2011227,-66.2216,143.2103,0,0,0,0,0,0
0,0,0,2011228,-66.2234,143.2112,0,0,0,0,0,0
0,0,0,2011229,-66.2253,143.2125,0,0,0,0,0,0
0,0,0,2011230,-66.2271,143.2142,0,0,0,0,0,0
0,0,0,2011231,-66.2286,143.2161,0,0,0,0,0,0
0,0,0,2011232,-66.2296,143.218,0,0,0,0,0,0
0,0,0,2011233,-66.23,143.22,1,0,0,0,33,6
0,0,0,2011234,-66.23,143.2225,0,0,0,0,0,0
0,0,0,2011235,-66.23,143.2259,0,0,0,0,0,0
0,0,0,2011236,-66.23,143.2297,0,0,0,0,0,0
0,0,0,2011237,-66.23,143.2335,0,0,0,0,0,0
0,0,0,2011238,-66.23,143.2368,0,0,0,0,0,0
0,0,0,2011239,-66.23,143.2391,0,0,0,0,0,0
0,0,0,2011240,-66.23,143.24,1,0,0,0,33,6
0,0,0,2011241,-66.23,143.24,0,0,0,0,0,0
0,0,0,2011242,-66.23,143.24,0,0,0,0,0,0
0,0,0,2011243,-66.23,143.24,0,0,0,0,0,0
0,0,0,2011244,-66.23,143.24,0,0,0,0,0,0
0,0,0,2011245,-66.23,143.24,0,0,0,0,0,0
0,0,0,2011246,-66.23,143.24,0,0,0,0,0,0
0,0,0,2011247,-66.23,143.24,1,0,0,0,33,6
0,0,0,2011248,-66.23,143.2383,0,0,0,0,0,0
0,0,0,2011249,-66.23,143.2336,0,0,0,0,0,0
0,0,0,2011250,-66.23,143.2271,0,0,0,0,0,0
0,0,0,2011251,-66.23,143.2195,0,0,0,0,0,0
0,0,0,2011252,-66.23,143.2118,0,0,0,0,0,0
0,0,0,2011253,-66.23,143.205,0,0,0,0,0,0
0,0,0,2011254,-66.23,143.2,1,0,0,0,33,6
0,0,0,2011255,-66.2311,143.1961,0,0,0,0,0,0
0,0,0,2011256,-66.234,143.1921,0,0,0,0,0,0
0,0,0,2011257,-66.2379,143.1884,0,0,0,0,0,0
0,0,0,2011258,-66.2421,143.1851,0,0,0,0,0,0
0,0,0,2011259,-66.246,143.1824,0,0,0,0,0,0
0,0,0,2011260,-66.2489,143.1806,0,0,0,0,0,0
0,0,0,2011261,-66.25,143.18,1,0,0,0,33,6
0,0,0,2011262,-66.2483,143.1807,0,0,0,0,0,0
0,0,0,2011263,-66.2441,143.1826,0,0,0,0,0,0
0,0,0,2011264,-66.2382,143.1854,0,0,0,0,0,0
0,0,0,2011265,-66.2318,143.1888,0,0,0,0,0,0
0,0,0,2011266,-66.2259,143.1925,0,0,0,0,0,0
0,0,0,2011267,-66.2217,143.1964,0,0,0,0,0,0
0,0,0,2011268,-66.22,143.2,1,0,0,0,33,6
0,0,0,2011269,-66.2211,143.2042,0,0,0,0,0,0
0,0,0,2011270,-66.224,143.2094,0,0,0,0,0,0
0,0,0,2011271,-66.2279,143.2152,0,0,0,0,0,0
0,0,0,2011272,-66.2321,143.2207,0,0,0,0,0,0
0,0,0,2011273,-66.236,143.2255,0,0,0,0,0,0
0,0,0,2011274,-66.2389,143.2288,0,0,0,0,0,0
0,0,0,2011275,-66.24,143.23,1,0,0,0,33,6
0,0,0,2011276,-66.24,143.23,0,0,0,0,0,0
0,0,0,2011277,-66.24,143.23,0,0,0,0,0,0
0,0,0,2011278,-66.24,143.23,0,0,0,0,0,0
0,0,0,2011279,-66.24,143.23,0,0,0,0,0,0
0,0,0,2011280,-66.24,143.23,0,0,0,0,0,0
0,0,0,2011281,-66.24,143.23,0,0,0,0,0,0
0,0,0,2011282,-66.24,143.23,1,0,0,0,33,6
0,0,0,2011283,-66.2394,143.2272,0,0,0,0,0,0
0,0,0,2011284,-66.238,143.2201,0,0,0,0,0,0
0,0,0,2011285,-66.2361,143.2103,0,0,0,0,0,0
0,0,0,2011286,-66.2339,143.1997,0,0,0,0,0,0
0,0,0,2011287,-66.232,143.1899,0,0,0,0,0,0
0,0,0,2011288,-66.2306,143.1828,0,0,0,0,0,0
0,0,0,2011289,-66.23,143.18,1,0,0,0,33,6
0,0,0,2011290,-66.2317,143.1806,0,0,0,0,0,0
0,0,0,2011291,-66.2359,143.182,0,0,0,0,0,0
0,0,0,2011292,-66.2418,143.1839,0,0,0,0,0,0
0,0,0,2011293,-66.2482,143.1861,0,0,0,0,0,0
0,0,0,2011294,-66.2541,143.188,0,0,0,0,0,0
0,0,0,2011295,-66.2583,143.1894,0,0,0,0,0,0
0,0,0,2011296,-66.26,143.19,1,0,0,0,33,6
0,0,0,2011297,-66.2594,143.1887,0,0,0,0,0,0
0,0,0,2011298,-66.258,143.185,0,0,0,0,0,0
0,0,0,2011299,-66.2561,143.1796,0,0,0,0,0,0
0,0,0,2011300,-66.2539,143.1729,0,0,0,0,0,0
0,0,0,2011301,-66.252,143.1654,0,0,0,0,0,0
0,0,0,2011302,-66.2506,143.1576,0,0,0,0,0,0
0,0,0,2011303,-66.25,143.15,1,0,0,0,33,6
0,0,0,2011304,-66.2528,143.1408,0,0,0,0,0,0
0,0,0,2011305,-66.2599,143.1287,0,0,0,0,0,0
0,0,0,2011306,-66.2697,143.1153,0,0,0,0,0,0
0,0,0,2011307,-66.2803,143.1022,0,0,0,0,0,0
0,0,0,2011308,-66.2901,143.0909,0,0,0,0,0,0
0,0,0,2011309,-66.2972,143.083,0,0,0,0,0,0
0,0,0,2011310,-66.3,143.08,1,0,0,0,33,6
0,0,0,2011311,-66.2981,143.0833,0,0,0,0,0,0
0,0,0,2011312,-66.293,143.0919,0,0,0,0,0,0
0,0,0,2011313,-66.2859,143.1036,0,0,0,0,0,0
0,0,0,2011314,-66.278,143.1164,0,0,0,0,0,0
0,0,0,2011315,-66.2703,143.1281,0,0,0,0,0,0
0,0,0,2011316,-66.2639,143.1367,0,0,0,0,0,0
