ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,size_1,size_2
0,0,0,2010024,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010031,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010038,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010045,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010052,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010059,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010066,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010073,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010080,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010087,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010094,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010101,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010108,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010115,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010122,-74.85,-109.07,1,0,0,0,10,7
0,0,0,2010129,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010136,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010143,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010150,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010157,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010164,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010171,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010178,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010185,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010192,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010199,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010206,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010213,-74.83,-109.03,1,0,0,0,10,7
0,0,0,2010220,-74.83,-109.07,1,0,0,0,10,7
0,0,0,2010227,-74.83,-109.07,1,0,0,0,10,7
0,0,0,2010234,-74.83,-109.07,1,0,0,0,10,7
0,0,0,2010241,-74.83,-109.07,1,0,0,0,10,7
0,0,0,2010248,-74.83,-109.07,1,0,0,0,10,7
0,0,0,2010255,-74.83,-109.07,1,0,0,0,10,7
0,0,0,2010262,-74.83,-109.07,1,0,0,0,10,7
0,0,0,2010269,-74.83,-109.07,1,0,0,0,10,7
