ascat_1,ascat_2,ascat_3,date
-66.584,146.7567,1,2016001
-66.584,146.7567,1,2016002
-66.6102,146.8444,1,2016003
-66.5845,146.9766,1,2016004
-66.5506,146.981,1,2016005
-66.4825,146.9459,1,2016006
-66.4825,146.9459,1,2016007
-66.4825,146.9459,1,2016008
-66.4825,146.9459,1,2016009
-66.4638,147.0552,1,2016010
-66.4028,147.0472,1,2016011
-66.3687,147.0969,1,2016012
-66.3465,147.2089,0,2016013
-66.3358,147.2892,1,2016014
-66.3358,147.2892,1,2016015
-66.2484,147.4058,1,2016016
-66.2298,147.6011,1,2016017
-66.2298,147.6011,0,2016018
-66.2298,147.6011,1,2016019
-66.1227,147.8286,1,2016020
-66.0721,147.8028,1,2016021
-66.0721,147.8028,1,2016022
-66.0721,147.8028,1,2016023
-66.0815,147.8263,0,2016024
-66.1053,147.8831,1,2016025
-66.176,148.0254,1,2016026
-66.176,148.0254,1,2016027
-65.9912,147.8565,1,2016028
-65.9912,147.8565,1,2016029
-66.2433,148.0483,1,2016030
-66.3266,147.9727,1,2016031
-66.3882,148.1309,1,2016032
-66.3882,148.1309,1,2016033
-66.3882,148.1309,1,2016034
-66.4987,148.0526,1,2016035
-66.4987,148.0526,1,2016036
-66.5632,148.1797,1,2016037
-66.5632,148.1797,1,2016038
-66.5632,148.1797,1,2016039
-66.5873,148.2311,0,2016040
-66.6113,148.2824,1,2016041
-66.6113,148.2824,1,2016042
-66.667,148.1729,1,2016043
-66.667,148.1729,1,2016044
-66.8292,148.3114,1,2016045
-66.8189,148.231,1,2016046
-66.8189,148.231,1,2016047
-66.8189,148.231,1,2016048
-66.8189,148.231,1,2016049
-66.8189,148.231,1,2016050
-66.8189,148.231,1,2016051
-66.9184,147.9605,1,2016052
-66.9184,147.9605,1,2016053
-66.9184,147.9605,1,2016054
-66.9733,147.9349,1,2016055
-66.9069,147.9788,1,2016056
-67.0893,147.8518,1,2016057
-66.9184,147.9605,1,2016058
-67.1353,147.5889,1,2016059
-67.1353,147.5889,1,2016060
-67.2281,147.1419,1,2016061
-67.2281,147.1419,1,2016062
-67.1875,147.0247,1,2016063
-67.1093,147.0144,1,2016064
-67.1547,146.9731,1,2016065
-67.1547,146.9731,1,2016066
-67.1383,146.8808,1,2016067
-67.1172,146.9396,1,2016068
-67.0363,146.9014,1,2016069
-67.0363,146.9014,1,2016070
-66.9018,146.6549,1,2016071
-66.8574,146.5696,1,2016072
-66.8574,146.5696,1,2016073
-66.6901,146.6664,1,2016074
-66.6901,146.6664,0,2016075
-66.6901,146.6664,1,2016076
-66.6901,146.6664,1,2016077
-66.6901,146.6664,1,2016078
-66.6901,146.6664,1,2016079
-66.6901,146.6664,1,2016080
-66.6901,146.6664,1,2016081
-66.6901,146.6664,0,2016082
-66.6901,146.6664,1,2016083
-66.6719,146.492,1,2016084
-66.7421,146.3921,1,2016085
-66.7421,146.3921,1,2016086
-66.7421,146.3921,1,2016087
-66.7421,146.3921,1,2016088
-66.7043,146.2553,1,2016089
-66.6604,146.0899,1,2016090
-66.6631,145.8738,1,2016091
-66.6305,145.5797,1,2016092
-66.6305,145.5797,1,2016093
-66.6576,145.4588,1,2016094
-66.6576,145.4588,1,2016095
-66.6576,145.4588,0,2016096
-66.6576,145.4588,1,2016097
-66.6576,145.4588,1,2016098
-66.6576,145.4588,1,2016099
-66.6576,145.4588,1,2016100
-66.6576,145.4588,1,2016101
-66.6576,145.4588,1,2016102
-66.9212,143.4194,1,2016103
-66.9212,143.4194,1,2016104
-66.9212,143.4194,1,2016105
-66.9212,143.4194,1,2016106
-66.9212,143.4194,1,2016107
-66.9212,143.4194,1,2016108
-66.9212,143.4194,1,2016109
-66.9212,143.4194,1,2016110
-66.9212,143.4194,1,2016111
-66.9212,143.4194,1,2016112
-66.9212,143.4194,1,2016113
-66.9212,143.4194,1,2016114
-66.9212,143.4194,1,2016115
-66.9148,143.5343,1,2016117
-66.9148,143.5343,1,2016118
-66.9148,143.5343,1,2016119
-66.9148,143.5343,1,2016120
-66.9148,143.5343,1,2016121
-66.9148,143.5343,1,2016122
-66.9148,143.5343,1,2016123
-66.9148,143.5343,1,2016124
-66.9148,143.5343,1,2016125
-66.9148,143.5343,1,2016126
-66.9148,143.5343,1,2016127
-66.9148,143.5343,1,2016128
-66.9148,143.5343,1,2016129
-66.9148,143.5343,1,2016131
-66.9148,143.5343,1,2016132
-66.9148,143.5343,1,2016133
-66.9148,143.5343,1,2016137
-66.9148,143.5343,1,2016138
-66.9148,143.5343,1,2016139
-66.9148,143.5343,1,2016140
-66.9148,143.5343,1,2016141
-66.9148,143.5343,1,2016142
-66.9148,143.5343,1,2016143
-66.9148,143.5343,1,2016145
-66.9148,143.5343,1,2016146
-66.9148,143.5343,1,2016147
-66.9148,143.5343,1,2016148
-66.9148,143.5343,1,2016149
-66.9148,143.5343,1,2016150
-66.9148,143.5343,1,2016151
-66.9148,143.5343,1,2016152
-66.9148,143.5343,1,2016153
-66.9148,143.5343,1,2016154
-66.9148,143.5343,1,2016156
-66.9148,143.5343,1,2016157
-66.9148,143.5343,1,2016158
-66.9148,143.5343,1,2016159
-66.9148,143.5343,1,2016160
-66.9148,143.5343,1,2016161
-66.9148,143.5343,1,2016163
-66.9148,143.5343,1,2016164
-66.9148,143.5343,1,2016165
-66.9148,143.5343,1,2016182
-66.9148,143.5343,1,2016183
-66.9148,143.5343,1,2016184
-66.9148,143.5343,1,2016186
-66.9148,143.5343,1,2016188
-66.9148,143.5343,1,2016189
-66.9148,143.5343,1,2016190
-66.9148,143.5343,1,2016191
-66.9148,143.5343,1,2016192
-66.9148,143.5343,1,2016193
-66.9251,143.5236,1,2016195
-66.9245,143.5246,1,2016196
-65.1369,134.6286,1,2016197
-65.1462,134.6083,1,2016198
-65.1602,134.5745,1,2016199
-65.1602,134.5745,1,2016200
-65.0931,134.451,1,2016201
-65.124,134.523,1,2016202
-65.1249,134.5585,1,2016203
-65.1041,134.7095,1,2016204
-65.1261,134.6566,1,2016205
-65.1193,134.6096,1,2016206
-65.0909,134.7095,1,2016207
-65.1328,134.6722,1,2016208
-65.1265,134.6932,1,2016209
-65.1128,134.6944,1,2016210
-65.0919,134.6122,1,2016211
-65.064,134.5469,1,2016212
-65.0767,134.5102,1,2016213
-65.1518,134.5192,1,2016214
-65.1476,134.4143,1,2016215
-65.1679,134.2953,1,2016216
-65.1358,134.5578,1,2016217
-65.1188,134.6108,1,2016218
-65.1069,134.481,1,2016219
-65.1064,134.3493,1,2016220
-65.0961,134.392,0,2016221
-65.0761,134.4801,1,2016222
-65.0479,134.6112,1,2016223
-65.1045,134.6392,1,2016224
-65.0858,135.5363,1,2016225
-65.064,135.467,1,2016226
-65.0364,135.4009,1,2016227
-65.0512,135.4365,0,2016228
-65.068,135.4769,1,2016229
-65.0705,135.4829,1,2016230
-65.0818,135.4742,0,2016231
-65.0913,135.4655,1,2016232
-65.0913,135.4655,1,2016233
-65.07,135.5153,1,2016234
-65.0733,135.5269,0,2016235
-65.0765,135.5311,1,2016236
-65.0765,135.5311,1,2016237
-65.0869,135.5225,0,2016238
-65.0973,135.5138,1,2016239
-65.0973,135.5138,1,2016240
-65.0973,135.5138,1,2016241
-65.0973,135.5138,1,2016242
-65.0938,135.5221,0,2016243
-65.0902,135.5304,1,2016244
-65.0902,135.5304,1,2016245
-65.0935,135.5352,0,2016246
-65.0968,135.5462,1,2016247
-65.0498,135.568,1,2016248
-65.0502,135.499,1,2016249
-65.0885,135.6252,0,2016250
-65.1264,135.7514,1,2016251
-65.085,135.6845,1,2016252
-65.1087,135.7421,1,2016253
-65.1341,135.9063,1,2016254
-65.1245,135.9568,0,2016255
-65.1149,135.9932,1,2016256
-65.1349,136.04,1,2016257
-65.149,135.9461,0,2016258
-65.1616,135.7985,1,2016259
-65.1749,135.6996,1,2016260
-65.1464,135.6665,1,2016261
-65.1445,135.696,1,2016262
-65.1467,135.6925,0,2016263
-65.1507,135.6859,0,2016264
-65.1529,135.6824,1,2016265
-65.1022,135.8307,1,2016266
-65.1293,135.8922,1,2016267
-65.1566,135.9592,1,2016268
-65.12,135.8014,1,2016269
-65.1259,135.7139,1,2016270
-65.1653,135.7101,1,2016271
-65.1725,135.7303,1,2016272
-65.1458,135.699,1,2016273
-65.1458,135.699,1,2016274
-65.1458,135.699,1,2016275
-65.1437,135.7073,0,2016276
-65.1386,135.7156,1,2016277
-65.126,135.6826,1,2016278
-65.1284,135.7053,0,2016279
-65.1307,135.728,1,2016280
-65.1123,135.6832,1,2016281
-65.1313,135.6955,1,2016282
-65.1099,135.7497,0,2016283
-65.0884,135.7947,1,2016284
-65.0889,135.7935,1,2016285
-65.1041,135.7583,0,2016286
-65.1315,135.6951,0,2016287
-65.1461,135.6612,1,2016288
-65.0951,135.7793,1,2016289
-65.1104,135.744,1,2016290
-65.1321,135.6938,0,2016291
-65.1456,135.6623,1,2016292
-65.1231,135.7457,1,2016293
-65.1374,135.7697,0,2016294
-65.1516,135.7788,1,2016295
-65.1516,135.7788,1,2016296
-65.1236,135.8125,1,2016297
-65.1188,135.7304,1,2016298
-65.0897,135.7298,1,2016299
-65.1096,135.6793,0,2016300
-65.133,135.6293,1,2016301
-65.1374,135.7126,1,2016302
-65.1475,135.6328,1,2016303
-65.1386,135.6476,1,2016304
-65.1301,135.6317,0,2016305
-65.1255,135.6158,1,2016306
-65.1368,135.7451,1,2016307
-65.1123,135.6832,1,2016308
-65.1373,135.7439,1,2016309
-65.1463,135.6978,1,2016310
-65.1445,135.764,1,2016311
-65.1447,135.7635,0,2016312
-65.145,135.7629,1,2016313
-65.145,135.7629,1,2016314
-65.145,135.7629,1,2016315
-65.1385,135.747,0,2016316
-65.132,135.731,1,2016317
-65.132,135.731,1,2016318
-65.1356,135.7227,0,2016319
-65.1391,135.7144,1,2016320
-65.1391,135.7144,1,2016321
-65.1424,135.7224,0,2016322
-65.1457,135.7304,1,2016323
-65.1457,135.7304,1,2016324
-65.1457,135.7304,1,2016325
-65.1451,135.7629,0,2016326
-65.1444,135.7954,1,2016327
-65.1444,135.7954,1,2016328
-65.1444,135.7954,1,2016329
-65.1444,135.7954,1,2016330
-65.1444,135.7954,1,2016331
-65.1444,135.7954,1,2016332
-65.1444,135.7954,1,2016333
-65.1444,135.7954,1,2016334
-65.1272,135.8043,0,2016335
-65.1099,135.8131,1,2016336
-65.1188,135.7304,1,2016337
-65.1385,135.6789,1,2016338
-65.1308,135.6966,1,2016339
-65.1185,135.7075,0,2016340
-65.1105,135.7127,1,2016341
-65.1105,135.7127,1,2016342
-65.1105,135.7127,1,2016343
-65.1765,134.6682,1,2016344
-65.1765,134.6682,1,2016345
-65.1765,134.6682,1,2016346
-65.1741,134.7094,1,2016347
-65.1741,134.7094,1,2016348
-65.1741,134.7094,1,2016349
-65.1741,134.7094,1,2016350
-65.1741,134.7094,1,2016351
-65.1741,134.7094,1,2016352
-65.1741,134.7094,1,2016353
-65.1741,134.7094,1,2016354
-65.1741,134.7094,1,2016355
-65.1741,134.7094,1,2016356
-65.1741,134.7094,1,2016357
-65.1777,134.6007,1,2016358
-65.1777,134.6007,1,2016359
-65.1777,134.6007,1,2016360
-65.1439,134.6824,1,2016361
-65.1439,134.6824,1,2016362
-65.1439,134.6824,1,2016363
-65.1283,134.5869,1,2016364
-65.1283,134.5869,1,2016365
-65.1283,134.5869,1,2016366
-65.1283,134.5869,1,2017001
-65.1283,134.5869,1,2017002
-65.1283,134.5869,0,2017003
-65.1283,134.5869,1,2017004
-65.1283,134.5869,1,2017005
-65.1283,134.5869,0,2017006
-65.1283,134.5869,1,2017007
-65.1283,134.5869,1,2017008
-65.1283,134.5869,1,2017009
-65.1283,134.5869,0,2017010
-65.1283,134.5869,1,2017011
-65.1283,134.5869,1,2017012
-65.1283,134.5869,1,2017013
-65.1283,134.5869,1,2017014
-65.1283,134.5869,1,2017015
-65.1283,134.5869,1,2017016
-65.1283,134.5869,1,2017017
-65.1283,134.5869,1,2017018
-65.1283,134.5869,0,2017019
-65.1283,134.5869,1,2017020
-65.1283,134.5869,1,2017021
-65.1283,134.5869,1,2017022
-65.1283,134.5869,1,2017023
-65.1283,134.5869,1,2017024
-65.0753,134.4489,1,2017025
-65.0753,134.4489,1,2017026
-65.0753,134.4489,1,2017027
-65.0753,134.4489,0,2017028
-65.0753,134.4489,1,2017029
-65.0753,134.4489,1,2017030
-65.0753,134.4489,0,2017031
-65.0753,134.4489,0,2017032
-65.0753,134.4489,0,2017033
-65.0753,134.4489,0,2017034
-65.0753,134.4489,0,2017035
-65.0753,134.4489,0,2017036
-65.0753,134.4489,1,2017037
-65.0753,134.4489,1,2017038
-65.0753,134.4489,1,2017039
-65.0753,134.4489,1,2017040
-65.0869,134.4987,0,2017041
-65.1085,134.5911,0,2017042
-65.1201,134.6409,1,2017043
-65.1201,134.6409,1,2017044
-65.1201,134.6409,1,2017045
-65.1201,134.6409,1,2017046
-65.1201,134.6409,1,2017047
-65.1201,134.6409,1,2017048
-65.1201,134.6409,1,2017049
-65.1201,134.6409,1,2017050
-65.1201,134.6409,1,2017051
-65.1201,134.6409,1,2017052
-65.1201,134.6409,1,2017053
-65.1201,134.6409,0,2017054
-65.1201,134.6409,1,2017055
-65.1201,134.6409,1,2017056
-65.1201,134.6409,1,2017057
-65.1201,134.6409,1,2017058
-65.1201,134.6409,1,2017059
-65.1201,134.6409,1,2017060
-65.1201,134.6409,1,2017061
-65.1201,134.6409,1,2017062
