ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
0,0,0,2005072,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005219,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005233,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005240,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005261,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005268,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005282,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005289,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005296,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005310,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005317,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005338,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005345,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2005352,-65.02,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2006015,-65.03,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2006022,-65.03,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2006036,-65.03,95.92,1,0,0,0,0,0,0,12,10
0,0,0,2006043,-65.02,95.95,1,0,0,0,0,0,0,12,10
0,0,0,2006050,-65.02,95.95,1,0,0,0,0,0,0,12,10
0,0,0,2006064,-65.02,95.95,1,0,0,0,0,0,0,12,10
0,0,0,2006071,-65.02,95.95,1,0,0,0,0,0,0,12,10
0,0,0,2006078,-65.02,95.95,1,0,0,0,0,0,0,12,10
0,0,0,2006085,-65.02,95.95,1,0,0,0,0,0,0,12,10
0,0,0,2006090,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006091,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006092,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006093,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006094,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006095,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006096,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006097,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006098,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006099,-65.02,95.95,1,0,0,0,-64.9474,96.07,1,12,10
0,0,0,2006100,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006101,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006102,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006103,0,0,0,0,0,0,-64.9474,96.07,0,0,0
0,0,0,2006104,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006105,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006106,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006107,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006108,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006109,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006110,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006111,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006112,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006113,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006114,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006115,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006116,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006117,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006118,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006119,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006120,-65.02,95.95,1,0,0,0,-64.9474,96.07,1,12,10
0,0,0,2006121,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006122,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006123,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006124,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006125,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006126,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006127,-65.02,95.95,1,0,0,0,-64.9474,96.07,1,12,10
0,0,0,2006128,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006129,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006130,0,0,0,0,0,0,-64.9474,96.07,0,0,0
0,0,0,2006131,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006132,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006133,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006134,-65.02,95.95,1,0,0,0,-64.9474,96.07,1,12,10
0,0,0,2006135,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006136,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006137,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006138,0,0,0,0,0,0,-64.9474,96.07,0,0,0
0,0,0,2006139,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006140,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006141,-65.02,95.95,1,0,0,0,-64.9474,96.07,1,12,10
0,0,0,2006142,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006143,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006144,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006145,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006146,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006147,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006148,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006149,0,0,0,0,0,0,-64.9474,96.07,1,0,0
0,0,0,2006150,0,0,0,0,0,0,-64.9474,96.07,1,0,0
