ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
0,0,0,2005072,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005219,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005233,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005234,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005235,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005236,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005237,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005238,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005239,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005240,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005261,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005262,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005263,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005264,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005265,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005266,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005267,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005268,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005282,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005283,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005284,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005285,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005286,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005287,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005288,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005289,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005290,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005291,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005292,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005293,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005294,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005295,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005296,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005310,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005311,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005312,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005313,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005314,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005315,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005316,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005317,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005338,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005339,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005340,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005341,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005342,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005343,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005344,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005345,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2005346,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005347,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005348,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005349,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005350,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005351,-64.83,96.17,0,0,0,0,0,0,0,0,0
0,0,0,2005352,-64.83,96.17,1,0,0,0,0,0,0,20,3
0,0,0,2006015,-64.83,96.18,1,0,0,0,0,0,0,20,3
