ascat_1,ascat_2,ascat_3,date
-64.7,96.733,1,2016001
-64.7,96.733,1,2016002
-64.7,96.733,1,2016003
-64.7,96.733,1,2016004
-64.7,96.733,1,2016005
-64.7,96.733,1,2016006
-64.7,96.733,1,2016007
-64.7,96.733,1,2016008
-64.7,96.733,1,2016009
-64.7,96.733,1,2016010
-64.7,96.733,1,2016011
-64.7,96.733,1,2016012
-64.7,96.733,0,2016013
-64.7,96.733,1,2016014
-64.7,96.733,1,2016015
-64.7,96.733,1,2016016
-64.7,96.733,1,2016017
-64.7,96.733,0,2016018
-64.7,96.733,1,2016019
-64.7,96.733,1,2016020
-64.7,96.733,1,2016021
-64.7,96.733,1,2016022
-64.7,96.733,1,2016023
-64.7,96.733,0,2016024
-64.7,96.733,1,2016025
-64.7,96.733,1,2016026
-64.7,96.733,1,2016027
-64.7,96.733,1,2016028
-64.7,96.733,1,2016029
-64.7,96.733,1,2016030
-64.7,96.733,0,2016031
-64.7,96.733,1,2016032
-64.7,96.733,1,2016033
-64.7,96.733,1,2016034
-64.7,96.733,1,2016035
-64.7,96.733,1,2016036
-64.7,96.733,1,2016037
-64.7,96.733,1,2016038
-64.7,96.733,1,2016039
-64.7,96.733,0,2016040
-64.7,96.733,1,2016041
-64.7,96.733,1,2016042
-64.7,96.733,1,2016043
-64.7,96.733,1,2016044
-64.7,96.733,1,2016045
-64.7,96.733,1,2016046
-64.7,96.733,0,2016047
-64.7,96.733,1,2016048
-64.7,96.733,1,2016049
-64.7,96.733,1,2016050
-64.7,96.733,1,2016051
-64.7,96.733,1,2016052
-64.7,96.733,1,2016053
-64.7,96.733,1,2016054
-64.7,96.733,0,2016055
-64.7,96.733,1,2016056
-64.7,96.733,1,2016057
-64.7,96.733,1,2016058
-64.7,96.733,1,2016059
-64.7,96.733,0,2016060
-64.7,96.733,1,2016061
-64.7,96.733,1,2016062
-64.7,96.733,1,2016063
-64.7,96.733,1,2016064
-64.7,96.733,1,2016065
-64.7,96.733,1,2016066
-64.7,96.733,1,2016067
-64.7,96.733,0,2016068
-64.7,96.733,1,2016069
-64.7,96.733,1,2016070
-64.7,96.733,1,2016071
-64.7,96.733,1,2016072
-64.7,96.733,1,2016073
-64.7,96.733,1,2016074
-64.7,96.733,0,2016075
-64.7,96.733,1,2016076
-64.7,96.733,1,2016077
-64.7,96.733,1,2016078
-64.7301,96.7226,1,2016079
-64.7301,96.7226,1,2016080
-64.7301,96.7226,1,2016081
-64.7301,96.7226,0,2016082
-64.7301,96.7226,1,2016083
-64.7301,96.7226,1,2016084
-64.7301,96.7226,1,2016085
-64.7301,96.7226,1,2016086
-64.7301,96.7226,1,2016087
-64.7301,96.7226,1,2016088
-64.7301,96.7226,0,2016089
-64.7301,96.7226,1,2016090
-64.7301,96.7226,1,2016091
-64.7301,96.7226,1,2016092
-64.7301,96.7226,1,2016093
-64.7301,96.7226,1,2016094
-64.7301,96.7226,1,2016095
-64.7301,96.7226,0,2016096
-64.7301,96.7226,1,2016097
-64.7301,96.7226,1,2016098
-64.7301,96.7226,1,2016099
-64.7301,96.7226,1,2016100
-64.7301,96.7226,1,2016101
-64.7301,96.7226,1,2016102
-64.7466,96.5978,0,2016103
-64.763,96.473,1,2016104
-64.763,96.473,1,2016105
-64.763,96.473,1,2016106
-64.763,96.473,1,2016107
-64.763,96.473,1,2016108
-64.763,96.473,1,2016109
-64.763,96.473,0,2016110
-64.763,96.473,1,2016111
-64.763,96.473,1,2016112
-64.763,96.473,1,2016113
-64.763,96.473,1,2016114
-64.763,96.473,1,2016115
-64.763,96.473,0,2016116
-64.763,96.473,1,2016117
-64.763,96.473,1,2016118
-64.763,96.473,1,2016119
-64.763,96.473,1,2016120
-64.7707,96.527,1,2016121
-64.7707,96.527,1,2016122
-64.7707,96.527,0,2016123
-64.7707,96.527,1,2016124
-64.7295,96.4439,1,2016125
-64.7295,96.4439,1,2016126
-64.7295,96.4439,1,2016127
-64.7295,96.4439,1,2016128
-64.7295,96.4439,1,2016129
-64.7295,96.4439,0,2016130
-64.7295,96.4439,1,2016131
-64.7295,96.4439,1,2016132
-64.7295,96.4439,1,2016133
-64.7295,96.4439,0,2016134
-64.7295,96.4439,0,2016135
-64.7295,96.4439,0,2016136
-64.7295,96.4439,1,2016137
-64.7295,96.4439,1,2016138
-64.7295,96.4439,1,2016139
-64.7295,96.4439,1,2016140
-64.7295,96.4439,1,2016141
-64.7295,96.4439,1,2016142
-64.7295,96.4439,1,2016143
-64.7295,96.4439,0,2016144
-64.7295,96.4439,1,2016145
-64.7295,96.4439,1,2016146
-64.7295,96.4439,1,2016147
-64.7295,96.4439,1,2016148
-64.7295,96.4439,1,2016149
-64.7295,96.4439,1,2016150
-64.7295,96.4439,1,2016151
-64.7295,96.4439,1,2016152
-64.7295,96.4439,1,2016153
-64.7295,96.4439,1,2016154
-64.7295,96.4439,0,2016155
-64.7295,96.4439,1,2016156
-64.7295,96.4439,1,2016157
-64.7295,96.4439,1,2016158
-64.7295,96.4439,1,2016159
-64.7295,96.4439,1,2016160
-64.7295,96.4439,1,2016161
-64.7295,96.4439,0,2016162
-64.7295,96.4439,1,2016163
-64.7295,96.4439,1,2016164
-64.7295,96.4439,1,2016165
-64.7295,96.4439,1,2016182
-64.7295,96.4439,1,2016183
-64.7295,96.4439,1,2016184
-64.7295,96.4439,0,2016185
-64.7295,96.4439,1,2016186
-64.7295,96.4439,0,2016187
-64.7295,96.4439,1,2016188
-64.7295,96.4439,1,2016189
-64.7295,96.4439,1,2016190
-64.7295,96.4439,1,2016191
-64.7295,96.4439,1,2016192
-64.7295,96.4439,1,2016193
-64.7254,96.4436,0,2016194
-64.7175,96.4424,1,2016195
-64.7075,96.4163,1,2016196
-64.7086,96.3932,1,2016197
-64.7178,96.3972,1,2016198
-64.7271,96.3996,1,2016199
-64.7409,96.3791,0,2016200
-64.7497,96.3586,1,2016201
-64.7497,96.3586,1,2016202
-64.7497,96.3586,1,2016203
-64.7497,96.3586,1,2016204
-64.7497,96.3586,1,2016205
-64.7497,96.3586,1,2016206
-64.7497,96.3586,1,2016207
-64.7214,96.4311,0,2016208
-64.6768,96.5036,1,2016209
-64.6467,96.4689,1,2016210
-64.6702,96.4833,1,2016211
-64.6827,96.5035,1,2016212
-64.6916,96.5511,1,2016213
-64.6833,96.6191,0,2016214
-64.6672,96.6617,1,2016215
-64.647,96.6546,1,2016216
-64.647,96.6546,1,2016217
-64.647,96.6546,1,2016218
-64.647,96.6546,1,2016219
-64.647,96.6546,1,2016220
-64.647,96.6546,0,2016221
-64.647,96.6546,1,2016222
-64.647,96.6546,1,2016223
-64.647,96.6546,1,2016224
-64.647,96.6546,1,2016225
-64.647,96.6546,1,2016226
-64.647,96.6546,1,2016227
-64.6515,96.6772,0,2016228
-64.6632,96.7059,1,2016229
-64.7005,96.7145,1,2016230
-64.6903,96.75,0,2016231
-64.6801,96.7792,1,2016232
-64.6861,96.662,1,2016233
-64.6522,96.7731,1,2016234
-64.6483,96.8193,0,2016235
-64.6471,96.8386,1,2016236
-64.6471,96.8386,1,2016237
-64.642,96.8591,0,2016238
-64.6342,96.9052,1,2016239
-64.6295,96.9959,1,2016240
-64.6481,96.9996,1,2016241
-64.6481,96.9996,1,2016242
-64.6487,96.9941,0,2016243
-64.6493,96.9765,1,2016244
-64.6322,96.761,1,2016245
-64.6403,96.7882,0,2016246
-64.6483,96.8155,1,2016247
-64.6483,96.8155,1,2016248
-64.6483,96.8155,1,2016249
-64.6384,96.8245,0,2016250
-64.6285,96.8334,1,2016251
-64.6285,96.8334,1,2016252
-64.6285,96.8334,1,2016253
-64.6285,96.8334,1,2016254
-64.6233,96.8398,0,2016255
-64.618,96.8539,1,2016256
-64.6337,96.8801,1,2016257
-64.6334,96.9096,0,2016258
-64.6331,96.9267,1,2016259
-64.6331,96.9267,1,2016260
-64.6331,96.9267,1,2016261
-64.6331,96.9267,1,2016262
-64.6469,96.9428,0,2016263
-64.6726,96.9726,0,2016264
-64.6864,96.9887,1,2016265
-64.6789,96.985,1,2016266
-64.6789,96.985,1,2016267
-64.6789,96.985,1,2016268
-64.6789,96.985,1,2016269
-64.6664,96.8642,1,2016270
-64.671,96.7734,1,2016271
-64.6756,96.6825,1,2016272
