FID,id,set_code,date_time_utc,timestamp_gps_utc,geom,longitude,latitude,ship_course_over_ground_deg,ship_heading_gps_deg,ship_heading_gyro_deg,ship_log_knot,ship_spd_over_ground_knot,pitch_ten_sec_max_deg,pitch_ten_sec_min_deg,roll_ten_sec_max_deg,roll_ten_sec_min_deg,accum_precipitation_owi_mm,ambient_light_owi_candlesperm2,atm_press_hpa,bphase_optode_nounit,chlorophyll_ugperl,conductivity_tsg_mspercm,dew_point_degc,dphase_optode_nounit,flow_rate_tsg_lpermin,fluorescence_nounit,fluoromtr_flow_rate_lpermin,oxy_concen_corr_mmol,oxy_concen_uncorr_mmol,precipitation_rate_owi_mmperh,rad_biometric_medperhr,rad_infrrd_port_wperm2,rad_infrrd_strbrd_wperm2,rad_lcr_port_mmolepersperm2,rad_lcr_strbrd_mmolepersperm2,rad_lcr_wperm2,rad_par_port_wperme,rad_par_strbrd_wperme,rad_slr_port_wperm2,rad_slr_strbrd_wperm2,rad_uv_wperm2,rain_accum_foremst_mm,rel_humidity_port_percent,rel_humidity_strbrd_percent,salinity_optode_psu,salinity_other_psu,salinity_tsg_psu,temp_air_degc,temp_air_port_degc,temp_air_strbrd_degc,temp_biometer_degc,temp_infrrd_snsor_port_degc,temp_infrrd_snsor_strbrd_degc,temp_sea_wtr_degc,temp_sea_wtr_high_res_degc,temp_tsg_degc,visibility_owi_km,wnd_dir_port_corr_deg,wnd_dir_port_uncorr_deg,wnd_dir_strbrd_corr_deg,wnd_dir_strbrd_uncorr_deg,wnd_spd_port_corr_knot,wnd_spd_port_uncorr_knot,wnd_spd_strbrd_corr_knot,wnd_spd_strbrd_uncorr_knot,wthr_indictr_code_owi_nounit,wtr_depth_biometr_m,wtr_depth_m,wtr_temp_optode_degc
underway_1200.42703314,42703314,201819020,2018-12-04T05:20:00,43438.222213,MULTIPOINT ((-42.881758 147.3415)),147.3415,-42.881758,221.395275,351.926348,352.299988,,0.048251,,,,,,,,,2.922458,,,,,590.711864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
underway_1200.42703554,42703554,201819020,2018-12-04T05:40:00,43438.236102,MULTIPOINT ((-42.881732 147.341474)),147.341474,-42.881732,0,351.764301,352.200012,,0.023667,-0.03734,-0.29691,0.71343,0.40754,,,1012.086173,32.969876,3.248806,39.349232,,36.860001,14.260291,647.965994,5.779196,236.710339,249.510119,,,359.237827,361.945087,,,,522.124196,535.712096,284.626512,290.712952,,21.3256,53.599998,53.395936,36.863949,,36.867768,,17.200001,17.299999,,18.366017,18.041979,14.790892,,9.436462,,308.818036,316.067127,308.854429,316.654417,10.129856,10.145451,10.729607,10.745451,,,,15.37
underway_1200.42703794,42703794,201819020,2018-12-04T06:00:00,43438.249997,MULTIPOINT ((-42.881736 147.341519)),147.341519,-42.881736,0,351.81064,352.200012,,0.011919,0.128245,-0.155351,0.51032,0.037986,,,1012.034825,33.040001,2.997412,39.319462,,36.939999,14.275558,603.861849,5.77329,235.316003,247.949989,,,356.425893,358.848884,,,,861.735466,1037.186961,404.641107,421.144131,,21.3396,53.962285,54.498901,36.834994,,36.833923,,17.4,17.4,,18.595442,18.02062,14.798932,,9.439538,,314.656966,322.098258,312.587204,319.783713,13.489585,13.503488,14.035126,14.048256,,,,15.39
underway_1200.42704034,42704034,201819020,2018-12-04T06:20:00,43438.263882,MULTIPOINT ((-42.881735 147.341545)),147.341545,-42.881735,0,351.704073,352.100006,,0.01447,-0.01136,-0.30687,0.37677,-0.02972,,,1012.299988,33.300061,2.829381,39.552306,,37.23,14.256322,574.382572,5.777072,230.588697,243.249815,,,359.645802,361.379095,,,,750.99265,730.147354,250.486849,324.363007,,21.326998,52.924349,53.093015,37.117136,,37.104616,,17.662175,17.6,,18.883801,18.430281,14.786116,,9.413693,,322.099459,329.813592,319.62302,327.023014,6.203033,6.214658,6.403492,6.414658,,,,15.35
underway_1200.42704274,42704274,201819020,2018-12-04T06:40:00,43438.277766,MULTIPOINT ((-42.881721 147.341571)),147.341571,-42.881721,0,351.767834,352.100006,,0.013948,-0.03316,-0.29398,0.66305,0.30158,,,1012.184792,34.02,2.456145,40.021159,,38.009945,14.273953,508.902542,5.783184,218.252207,231.240272,,,351.227997,354.288973,,,,350.585369,354.300517,184.02032,188.130515,,21.3255,50.743326,51.300695,37.746863,,37.733006,,18,18.099305,,19.121201,18.7486,14.713055,,9.284615,,323.353029,330.805966,320.941212,328.63533,7.751313,7.758848,8.051548,8.058848,,,,15.24
underway_1200.42704514,42704514,201819020,2018-12-04T07:00:00,43438.291662,MULTIPOINT ((-42.881719 147.341574)),147.341574,-42.881719,0,351.750744,352.200012,,0.02373,0.16993,-0.10797,-0.50335,-0.78346,,,1012.269875,33.609834,2.377856,39.55739,,37.559835,14.215,495.167728,5.767594,225.327385,237.812495,,,340.398189,344.051482,,,,275.955997,281.670491,146.452522,149.727076,,21.325701,50.96456,51.299999,37.150668,,37.140238,,18,17.9,,18.679789,18.34468,14.747995,,9.384614,,291.807239,299.599904,295.197161,302.750833,8.323657,8.331654,9.06863,9.077984,,,,15.33
underway_1200.42704754,42704754,201819020,2018-12-04T07:20:00,43438.305546,MULTIPOINT ((-42.881733 147.341544)),147.341544,-42.881733,0,351.879411,352.200012,,0.011348,-0.573053,-0.743761,-0.70988,-1.018957,,,1012.420071,33.810001,2.478531,39.696615,,37.779999,14.194293,512.829968,5.775135,221.911887,234.420919,,,350.635541,353.742229,,,,323.120034,325.857865,163.228136,164.260602,,21.325899,50.344729,50.615938,37.32108,,37.324767,,18,18,,18.910101,18.5117,14.616568,,9.347385,,311.510749,318.991507,309.878912,317.450873,10.017145,10.035156,10.654406,10.671972,,,,15.3
underway_1200.42704994,42704994,201819020,2018-12-04T07:40:00,43438.319442,MULTIPOINT ((-42.881754 147.341544)),147.341544,-42.881754,0,351.790355,352.200012,,0.025964,-0.10842,-0.16638,-0.66359,-0.83386,,,1012.829589,34.279999,2.218213,40.00908,,38.299773,14.217957,467.160127,5.780105,214.060496,226.750905,,,370.214817,371.207353,,,,498.857821,519.282833,323.650957,367.509368,,21.299901,50.764926,50.797045,37.752659,,37.744925,,18,18.1,,18.923401,18.90408,14.60656,,9.261153,,294.897241,302.276699,295.794482,303.025307,9.472591,9.479448,10.127554,10.134586,,,,15.23
underway_1200.42705234,42705234,201819020,2018-12-04T08:00:00,43438.333326,MULTIPOINT ((-42.881759 147.341541)),147.341541,-42.881759,0,351.742055,352.100006,,0.021024,-0.05315,-0.26183,-0.32208,-0.57853,,,1013.140015,34.41,1.981839,40.051386,,38.439999,14.243885,425.691083,5.776046,212.03514,224.679652,,,366.877991,368.305487,,,,203.971411,192.540436,108.886002,106.490997,,21.312599,51.893668,51.702784,37.810898,,37.809385,,17.700001,17.799999,,18.2509,18.3801,14.592629,,9.243,,315.398315,322.898315,314.277978,322.065949,10.134015,10.144404,10.610214,10.620337,,,,15.21
underway_1200.42705474,42705474,201819020,2018-12-04T08:20:00,43438.34721,MULTIPOINT ((-42.881755 147.341495)),147.341495,-42.881755,358.278149,351.879816,352.200012,,0.032372,0.38289,0.01249,0.08335,-0.44864,,,1013.535214,34.299999,2.050611,40.016076,,38.310001,14.29926,437.756356,5.78496,213.606372,226.368531,,,370.828198,373.340392,,,,93.182692,93.572535,49.205737,48.882599,,21.312201,50.66631,50.399411,37.732672,,37.744385,,17.6,17.700001,,17.945451,18.011499,14.59276,,9.268692,,323.873913,331.743431,321.134087,328.860101,5.985638,6.004469,6.242687,6.260974,,,,15.249707
