year,month,extent,area,date,ice_efficiency
1978,11,15.9,11.69,1978-11-01,0.7352201257861635
1978,12,10.4,6.97,1978-12-01,0.6701923076923076
1979,1,5.4,3.47,1979-01-01,0.6425925925925926
1979,2,3.14,2.11,1979-02-01,0.6719745222929936
1979,3,4.0,2.66,1979-03-01,0.665
1979,4,7.49,5.45,1979-04-01,0.7276368491321762
1979,5,10.83,8.3,1979-05-01,0.7663896583564174
1979,6,14.19,11.22,1979-06-01,0.7906976744186047
1979,7,16.52,13.26,1979-07-01,0.8026634382566586
1979,8,17.7,13.79,1979-08-01,0.7790960451977401
1979,9,18.2,14.29,1979-09-01,0.7851648351648352
1979,10,17.82,13.72,1979-10-01,0.7699214365881033
1979,11,15.34,11.32,1979-11-01,0.7379400260756194
1979,12,9.24,6.24,1979-12-01,0.6753246753246753
1980,1,4.56,3.08,1980-01-01,0.6754385964912282
1980,2,2.82,1.85,1980-02-01,0.6560283687943264
1980,3,3.29,2.11,1980-03-01,0.6413373860182371
1980,4,5.4,3.68,1980-04-01,0.6814814814814815
1980,5,8.86,6.44,1980-05-01,0.72686230248307
1980,6,12.49,9.58,1980-06-01,0.767013610888711
1980,7,15.56,12.18,1980-07-01,0.7827763496143958
1980,8,17.81,13.96,1980-08-01,0.7838293093767548
1980,9,18.82,14.87,1980-09-01,0.7901168969181721
1980,10,18.57,14.57,1980-10-01,0.7845988152934841
1980,11,16.13,11.84,1980-11-01,0.7340359578425295
1980,12,10.16,6.56,1980-12-01,0.6456692913385826
1981,1,4.41,2.84,1981-01-01,0.6439909297052153
1981,2,2.87,1.74,1981-02-01,0.6062717770034843
1981,3,3.39,2.16,1981-03-01,0.6371681415929203
1981,4,5.84,4.07,1981-04-01,0.6969178082191781
1981,5,9.35,7.08,1981-05-01,0.7572192513368984
1981,6,13.11,10.16,1981-06-01,0.774980930587338
1981,7,16.04,12.78,1981-07-01,0.7967581047381547
1981,8,17.74,14.16,1981-08-01,0.7981961668545661
1981,9,18.6,14.78,1981-09-01,0.7946236559139784
1981,10,18.29,14.43,1981-10-01,0.7889557135046473
1981,11,16.11,12.07,1981-11-01,0.7492240844196152
1981,12,10.89,7.02,1981-12-01,0.6446280991735537
1982,1,5.26,3.25,1982-01-01,0.6178707224334601
1982,2,3.13,1.86,1982-02-01,0.5942492012779553
1982,3,4.29,2.84,1982-03-01,0.662004662004662
1982,4,7.72,5.79,1982-04-01,0.75
1982,5,10.76,8.27,1982-05-01,0.7685873605947955
1982,6,13.42,10.5,1982-06-01,0.7824143070044709
1982,7,15.87,12.47,1982-07-01,0.7857592942659106
1982,8,17.79,14.28,1982-08-01,0.8026981450252951
1982,9,18.35,14.53,1982-09-01,0.791825613079019
1982,10,17.79,13.74,1982-10-01,0.7723440134907251
1982,11,15.54,11.27,1982-11-01,0.7252252252252253
1982,12,9.22,6.31,1982-12-01,0.6843817787418655
1983,1,4.77,3.21,1983-01-01,0.6729559748427674
1983,2,3.07,1.91,1983-02-01,0.6221498371335505
1983,3,4.02,2.62,1983-03-01,0.6517412935323385
1983,4,6.47,4.7,1983-04-01,0.7264296754250387
1983,5,9.53,7.16,1983-05-01,0.7513116474291711
1983,6,12.64,9.77,1983-06-01,0.7729430379746834
1983,7,15.47,12.37,1983-07-01,0.799612152553329
1983,8,17.25,13.84,1983-08-01,0.8023188405797101
1983,9,18.59,14.68,1983-09-01,0.7896718665949435
1983,10,17.92,13.92,1983-10-01,0.7767857142857142
1983,11,16.01,11.57,1983-11-01,0.7226733291692692
1983,12,10.39,6.71,1983-12-01,0.6458132820019249
1984,1,4.78,2.93,1984-01-01,0.6129707112970711
1984,2,2.68,1.75,1984-02-01,0.6529850746268656
1984,3,3.61,2.34,1984-03-01,0.6481994459833795
1984,4,6.42,4.53,1984-04-01,0.705607476635514
1984,5,9.75,7.41,1984-05-01,0.76
1984,6,13.23,10.64,1984-06-01,0.8042328042328043
1984,7,16.4,13.38,1984-07-01,0.8158536585365855
1984,8,17.93,14.23,1984-08-01,0.7936419408812048
1984,9,18.17,14.27,1984-09-01,0.7853604843148045
1984,10,17.57,13.73,1984-10-01,0.7814456459874787
1984,11,16.13,12.06,1984-11-01,0.7476751394916306
1984,12,10.47,6.96,1984-12-01,0.664756446991404
1985,1,4.46,2.87,1985-01-01,0.6434977578475337
1985,2,2.84,1.83,1985-02-01,0.6443661971830986
1985,3,3.72,2.54,1985-03-01,0.6827956989247311
1985,4,6.49,4.74,1985-04-01,0.7303543913713405
1985,5,10.15,7.84,1985-05-01,0.7724137931034483
1985,6,13.43,10.51,1985-06-01,0.7825763216679077
1985,7,15.72,12.48,1985-07-01,0.7938931297709924
1985,8,17.63,14.24,1985-08-01,0.8077141236528645
1985,9,18.7,14.72,1985-09-01,0.7871657754010696
1985,10,18.2,14.37,1985-10-01,0.7895604395604395
1985,11,16.14,12.34,1985-11-01,0.7645600991325898
1985,12,11.35,7.46,1985-12-01,0.6572687224669603
1986,1,5.42,3.43,1986-01-01,0.6328413284132842
1986,2,3.19,2.0,1986-02-01,0.6269592476489029
1986,3,3.7,2.38,1986-03-01,0.6432432432432432
1986,4,6.39,4.56,1986-04-01,0.7136150234741784
1986,5,9.3,7.04,1986-05-01,0.7569892473118279
1986,6,12.69,9.72,1986-06-01,0.7659574468085107
1986,7,15.32,12.09,1986-07-01,0.7891644908616188
1986,8,17.0,13.46,1986-08-01,0.791764705882353
1986,9,17.68,13.88,1986-09-01,0.7850678733031675
1986,10,17.18,13.32,1986-10-01,0.7753201396973225
1986,11,15.01,10.87,1986-11-01,0.7241838774150566
1986,12,9.65,6.49,1986-12-01,0.672538860103627
1987,1,5.13,3.31,1987-01-01,0.645224171539961
1987,2,3.25,2.0,1987-02-01,0.6153846153846154
1987,3,4.11,2.75,1987-03-01,0.6690997566909975
1987,4,6.8,5.04,1987-04-01,0.7411764705882353
1987,5,9.69,7.53,1987-05-01,0.7770897832817338
1987,6,12.68,9.91,1987-06-01,0.7815457413249212
1987,7,15.75,12.5,1987-07-01,0.7936507936507936
1987,8,17.6,14.02,1987-08-01,0.796590909090909
1987,9,18.25,14.27,1987-09-01,0.7819178082191781
1987,10,17.67,13.71,1987-10-01,0.7758913412563667
1987,11,15.58,11.23,1987-11-01,0.7207958921694481
1988,2,2.89,1.9,1988-02-01,0.657439446366782
1988,3,3.97,2.59,1988-03-01,0.6523929471032744
1988,4,6.29,4.44,1988-04-01,0.7058823529411765
1988,5,9.6,7.23,1988-05-01,0.753125
1988,6,13.09,10.28,1988-06-01,0.7853323147440794
1988,7,15.75,12.62,1988-07-01,0.8012698412698412
1988,8,17.56,13.98,1988-08-01,0.7961275626423691
1988,9,18.31,14.2,1988-09-01,0.7755324959038776
1988,10,18.36,14.41,1988-10-01,0.7848583877995643
1988,11,16.15,12.29,1988-11-01,0.7609907120743035
1988,12,11.06,7.4,1988-12-01,0.6690777576853526
1989,1,4.74,3.17,1989-01-01,0.6687763713080168
1989,2,2.98,2.03,1989-02-01,0.6812080536912751
1989,3,3.93,2.59,1989-03-01,0.6590330788804071
1989,4,6.31,4.5,1989-04-01,0.7131537242472267
1989,5,10.3,8.0,1989-05-01,0.7766990291262136
1989,6,13.58,10.81,1989-06-01,0.7960235640648012
1989,7,15.71,12.58,1989-07-01,0.800763844684914
1989,8,17.47,14.03,1989-08-01,0.8030910131654264
1989,9,18.12,14.48,1989-09-01,0.7991169977924945
1989,10,17.86,13.85,1989-10-01,0.7754759238521837
1989,11,15.73,11.42,1989-11-01,0.7260012714558168
1989,12,9.84,6.7,1989-12-01,0.6808943089430894
1990,1,4.87,3.39,1990-01-01,0.6960985626283368
1990,2,3.04,2.21,1990-02-01,0.7269736842105263
1990,3,3.97,2.79,1990-03-01,0.7027707808564232
1990,4,7.0,5.18,1990-04-01,0.74
1990,5,9.72,7.46,1990-05-01,0.7674897119341563
1990,6,13.08,10.35,1990-06-01,0.7912844036697247
1990,7,15.57,12.27,1990-07-01,0.7880539499036608
1990,8,17.57,14.03,1990-08-01,0.7985202048947069
1990,9,18.19,14.39,1990-09-01,0.7910940076965365
1990,10,17.95,13.8,1990-10-01,0.7688022284122563
1990,11,15.47,11.35,1990-11-01,0.733678086619263
1990,12,9.95,6.73,1990-12-01,0.6763819095477388
1991,1,5.34,3.52,1991-01-01,0.6591760299625469
1991,2,3.16,2.09,1991-02-01,0.6613924050632911
1991,3,3.81,2.65,1991-03-01,0.6955380577427821
1991,4,7.05,5.18,1991-04-01,0.7347517730496453
1991,5,10.28,7.86,1991-05-01,0.764591439688716
1991,6,13.07,9.99,1991-06-01,0.764345830145371
1991,7,15.55,12.22,1991-07-01,0.7858520900321544
1991,8,17.72,14.05,1991-08-01,0.7928893905191875
1991,9,18.31,14.47,1991-09-01,0.7902785363189515
1991,10,17.92,13.8,1991-10-01,0.7700892857142857
1991,11,15.58,11.46,1991-11-01,0.7355584082156612
1991,12,10.19,6.8,1991-12-01,0.6673209028459274
1992,1,4.75,3.24,1992-01-01,0.6821052631578948
1992,2,2.84,1.86,1992-02-01,0.6549295774647887
1992,3,3.57,2.47,1992-03-01,0.6918767507002802
1992,4,6.79,5.0,1992-04-01,0.7363770250368189
1992,5,9.92,7.62,1992-05-01,0.7681451612903226
1992,6,12.81,10.0,1992-06-01,0.78064012490242
1992,7,15.89,12.58,1992-07-01,0.7916928886091882
1992,8,17.73,14.17,1992-08-01,0.7992103778905809
1992,9,18.15,14.13,1992-09-01,0.778512396694215
1992,10,17.93,13.85,1992-10-01,0.7724484104852203
1992,11,15.9,11.2,1992-11-01,0.7044025157232704
1992,12,10.21,6.18,1992-12-01,0.6052889324191968
1993,1,4.41,2.55,1993-01-01,0.5782312925170068
1993,2,2.48,1.37,1993-02-01,0.5524193548387097
1993,3,3.67,2.24,1993-03-01,0.6103542234332425
1993,4,6.65,4.9,1993-04-01,0.7368421052631579
1993,5,10.1,7.89,1993-05-01,0.7811881188118812
1993,6,13.15,10.37,1993-06-01,0.7885931558935361
1993,7,15.85,12.72,1993-07-01,0.8025236593059938
1993,8,17.49,13.93,1993-08-01,0.7964551172098342
1993,9,18.54,14.7,1993-09-01,0.7928802588996764
1993,10,18.13,14.17,1993-10-01,0.7815774958632102
1993,11,16.04,11.83,1993-11-01,0.7375311720698254
1993,12,9.93,6.67,1993-12-01,0.6717019133937563
1994,1,4.97,3.37,1994-01-01,0.6780684104627767
1994,2,3.2,2.22,1994-02-01,0.69375
1994,3,4.55,3.2,1994-03-01,0.7032967032967034
1994,4,7.22,5.45,1994-04-01,0.7548476454293629
1994,5,10.41,8.21,1994-05-01,0.7886647454370798
1994,6,13.56,10.73,1994-06-01,0.7912979351032449
1994,7,16.3,13.12,1994-07-01,0.8049079754601226
1994,8,17.84,14.49,1994-08-01,0.8122197309417041
1994,9,18.61,14.61,1994-09-01,0.7850617947340139
1994,10,18.09,14.07,1994-10-01,0.7777777777777778
1994,11,15.88,11.78,1994-11-01,0.7418136020151133
1994,12,10.1,7.11,1994-12-01,0.703960396039604
1995,1,5.64,3.73,1995-01-01,0.6613475177304965
1995,2,3.56,2.19,1995-02-01,0.6151685393258427
1995,3,4.63,3.01,1995-03-01,0.6501079913606911
1995,4,7.27,5.4,1995-04-01,0.7427785419532326
1995,5,10.42,8.19,1995-05-01,0.7859884836852207
1995,6,13.29,10.46,1995-06-01,0.7870579382994733
1995,7,15.74,12.53,1995-07-01,0.7960609911054637
1995,8,17.78,14.2,1995-08-01,0.7986501687289088
1995,9,18.37,14.46,1995-09-01,0.7871529667936854
1995,10,18.03,13.57,1995-10-01,0.7526344980587909
1995,11,15.63,11.49,1995-11-01,0.7351247600767754
1995,12,10.62,7.19,1995-12-01,0.6770244821092279
1996,1,5.87,3.55,1996-01-01,0.604770017035775
1996,2,2.98,1.77,1996-02-01,0.5939597315436241
1996,3,4.18,2.65,1996-03-01,0.6339712918660287
1996,4,7.28,5.37,1996-04-01,0.7376373626373627
1996,5,10.92,8.65,1996-05-01,0.7921245421245422
1996,6,13.87,11.09,1996-06-01,0.7995674116798847
1996,7,16.12,12.89,1996-07-01,0.7996277915632755
1996,8,17.74,13.9,1996-08-01,0.7835400225479144
1996,9,18.63,14.54,1996-09-01,0.7804616210413312
1996,10,17.96,13.94,1996-10-01,0.7761692650334076
1996,11,15.72,11.24,1996-11-01,0.7150127226463104
1996,12,9.65,6.24,1996-12-01,0.6466321243523316
1997,1,4.2,2.77,1997-01-01,0.6595238095238095
1997,2,2.49,1.72,1997-02-01,0.6907630522088353
1997,3,3.46,2.3,1997-03-01,0.6647398843930635
1997,4,6.49,4.84,1997-04-01,0.7457627118644067
1997,5,10.12,7.91,1997-05-01,0.7816205533596838
1997,6,13.12,10.22,1997-06-01,0.7789634146341464
1997,7,15.92,12.75,1997-07-01,0.8008793969849246
1997,8,17.68,14.09,1997-08-01,0.7969457013574661
1997,9,18.6,14.59,1997-09-01,0.7844086021505375
1997,10,17.99,14.12,1997-10-01,0.7848804891606448
1997,11,15.73,11.59,1997-11-01,0.736808645899555
1997,12,10.29,6.99,1997-12-01,0.6793002915451896
1998,1,4.46,3.04,1998-01-01,0.6816143497757847
1998,2,2.99,1.87,1998-02-01,0.6254180602006689
1998,3,4.11,2.71,1998-03-01,0.6593673965936739
1998,4,6.85,5.12,1998-04-01,0.7474452554744526
1998,5,10.33,7.91,1998-05-01,0.7657308809293321
1998,6,13.31,10.34,1998-06-01,0.7768595041322314
1998,7,15.96,12.66,1998-07-01,0.7932330827067668
1998,8,17.88,14.06,1998-08-01,0.7863534675615214
1998,9,18.9,14.84,1998-09-01,0.7851851851851852
1998,10,18.66,14.54,1998-10-01,0.7792068595927116
1998,11,16.3,11.88,1998-11-01,0.7288343558282209
1998,12,10.52,6.8,1998-12-01,0.6463878326996197
1999,1,4.82,3.11,1999-01-01,0.6452282157676348
1999,2,2.97,1.77,1999-02-01,0.5959595959595959
1999,3,3.98,2.58,1999-03-01,0.6482412060301508
1999,4,6.89,5.13,1999-04-01,0.7445573294629899
1999,5,10.27,8.07,1999-05-01,0.7857838364167479
1999,6,13.65,10.83,1999-06-01,0.7934065934065934
1999,7,16.28,13.06,1999-07-01,0.8022113022113022
1999,8,17.96,14.24,1999-08-01,0.7928730512249443
1999,9,18.7,14.62,1999-09-01,0.7818181818181819
1999,10,18.35,14.23,1999-10-01,0.7754768392370572
1999,11,15.96,11.51,1999-11-01,0.7211779448621554
1999,12,10.72,6.8,1999-12-01,0.6343283582089552
2000,1,4.75,2.92,2000-01-01,0.6147368421052631
2000,2,2.91,1.72,2000-02-01,0.5910652920962199
2000,3,4.09,2.67,2000-03-01,0.6528117359413202
2000,4,7.13,5.31,2000-04-01,0.7447405329593267
2000,5,10.92,8.56,2000-05-01,0.783882783882784
2000,6,13.89,11.04,2000-06-01,0.794816414686825
2000,7,16.1,12.99,2000-07-01,0.8068322981366459
2000,8,18.21,14.64,2000-08-01,0.8039538714991763
2000,9,18.89,15.07,2000-09-01,0.7977766013763896
2000,10,18.13,14.26,2000-10-01,0.7865416436845009
2000,11,15.76,11.81,2000-11-01,0.7493654822335026
2000,12,9.91,6.95,2000-12-01,0.7013118062563067
2001,1,5.23,3.64,2001-01-01,0.6959847036328871
2001,2,3.65,2.44,2001-02-01,0.6684931506849315
2001,3,4.73,3.36,2001-03-01,0.7103594080338266
2001,4,7.04,5.3,2001-04-01,0.7528409090909091
2001,5,10.33,8.0,2001-05-01,0.7744433688286544
2001,6,13.42,10.56,2001-06-01,0.7868852459016394
2001,7,15.85,12.58,2001-07-01,0.7936908517350157
2001,8,17.42,13.75,2001-08-01,0.7893226176808266
2001,9,18.17,14.36,2001-09-01,0.7903137039075397
2001,10,17.73,13.34,2001-10-01,0.7523970671178792
2001,11,15.61,11.0,2001-11-01,0.7046764894298527
2001,12,10.35,6.36,2001-12-01,0.6144927536231884
2002,1,4.74,2.95,2002-01-01,0.6223628691983123
