ascat_1,ascat_2,ascat_3,date
-71.466,-59.067,1,2016004
-71.466,-59.067,1,2016005
-71.466,-59.067,1,2016006
-71.524,-58.7008,1,2016007
-71.4798,-58.9029,1,2016008
-71.4511,-59.0667,1,2016009
-71.4511,-59.0667,1,2016010
-71.4511,-59.0667,1,2016011
-71.4511,-59.0667,1,2016012
-71.4226,-59.1562,0,2016013
-71.394,-59.2456,1,2016014
-71.394,-59.2456,1,2016015
-71.394,-59.2456,1,2016016
-71.394,-59.2456,1,2016017
-71.394,-59.2456,0,2016018
-71.394,-59.2456,1,2016019
-71.394,-59.2456,1,2016020
-71.394,-59.2456,1,2016021
-71.394,-59.2456,1,2016022
-71.394,-59.2456,1,2016023
-71.394,-59.2456,0,2016024
-71.394,-59.2456,0,2016025
-71.394,-59.2456,0,2016026
-71.394,-59.2456,1,2016027
-71.394,-59.2456,1,2016028
-71.6001,-58.4786,1,2016029
-71.6001,-58.4786,1,2016030
-71.5827,-58.5528,0,2016031
-71.5652,-58.627,1,2016032
-71.5652,-58.627,1,2016033
-71.5652,-58.627,1,2016034
-71.5652,-58.627,1,2016035
-71.5652,-58.627,1,2016036
-71.5652,-58.627,1,2016037
-71.5652,-58.627,1,2016038
-71.5652,-58.627,0,2016039
-71.5652,-58.627,1,2016040
-71.5652,-58.627,1,2016041
-71.5652,-58.627,1,2016042
-71.5652,-58.627,1,2016043
-71.5652,-58.627,1,2016044
-71.5652,-58.627,1,2016045
-71.5652,-58.627,1,2016046
-71.5652,-58.627,0,2016047
-71.5652,-58.627,1,2016048
-71.5652,-58.627,1,2016049
-71.5652,-58.627,1,2016050
-71.5652,-58.627,1,2016051
-71.5652,-58.627,1,2016052
-71.5652,-58.627,1,2016053
-71.5652,-58.627,1,2016054
-71.5652,-58.627,0,2016055
-71.5652,-58.627,1,2016056
-71.4722,-58.5049,1,2016057
-71.4722,-58.5049,1,2016058
-71.4722,-58.5049,1,2016059
-71.4722,-58.5049,0,2016060
-71.4722,-58.5049,1,2016061
-71.4722,-58.5049,1,2016062
-71.5535,-58.5415,1,2016063
-71.5264,-58.5535,1,2016064
-71.4224,-58.4907,1,2016065
-71.4224,-58.4907,1,2016066
-71.4224,-58.4907,1,2016067
-71.4443,-58.4699,0,2016068
-71.4661,-58.4492,1,2016069
-71.4661,-58.4492,1,2016070
-71.4661,-58.4492,1,2016071
-71.4228,-58.4926,1,2016072
-71.4466,-58.6369,1,2016073
-71.4466,-58.6369,1,2016074
-71.4466,-58.6369,0,2016075
-71.4466,-58.6369,1,2016076
-71.4466,-58.6369,1,2016077
-71.4466,-58.6369,1,2016078
-71.4279,-59.0037,1,2016079
-71.4279,-59.0037,1,2016080
-71.4279,-59.0037,1,2016081
-71.4535,-58.9153,0,2016082
-71.4791,-58.8268,1,2016083
-71.4791,-58.8268,1,2016084
-71.4791,-58.8268,1,2016085
-71.2974,-59.4614,1,2016086
-71.2974,-59.4614,1,2016087
-71.4018,-58.9334,1,2016088
-71.3438,-58.9362,1,2016089
-71.3741,-59.1048,1,2016090
-71.4143,-59.2102,1,2016091
-71.3523,-59.3997,1,2016092
-71.3523,-59.3997,1,2016093
-71.3523,-59.3997,1,2016094
-71.3523,-59.3997,1,2016095
-71.0962,-59.5332,1,2016096
-71.0962,-59.5332,1,2016097
-70.9557,-59.2148,1,2016098
-70.9168,-59.1509,1,2016099
-70.9168,-59.1509,1,2016100
-70.9168,-59.1509,1,2016101
