ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
0,0,0,2014101,-69.71,-61.06,1,16,11
0,0,0,2014102,-69.71,-61.06,0,0,0
0,0,0,2014103,-69.71,-61.06,0,0,0
0,0,0,2014104,-69.71,-61.06,0,0,0
0,0,0,2014105,-69.71,-61.06,0,0,0
0,0,0,2014106,-69.71,-61.06,0,0,0
0,0,0,2014107,-69.71,-61.06,0,0,0
0,0,0,2014108,-69.71,-61.06,1,16,11
0,0,0,2014109,-69.71,-61.06,0,0,0
0,0,0,2014110,-69.71,-61.06,0,0,0
0,0,0,2014111,-69.71,-61.06,0,0,0
0,0,0,2014112,-69.71,-61.06,0,0,0
0,0,0,2014113,-69.71,-61.06,0,0,0
0,0,0,2014114,-69.71,-61.06,0,0,0
0,0,0,2014115,-69.71,-61.06,1,16,11
0,0,0,2014129,-69.71,-61.06,1,16,11
0,0,0,2014130,-69.71,-61.06,0,0,0
0,0,0,2014131,-69.71,-61.06,0,0,0
0,0,0,2014132,-69.71,-61.06,0,0,0
0,0,0,2014133,-69.71,-61.06,0,0,0
0,0,0,2014134,-69.71,-61.06,0,0,0
0,0,0,2014135,-69.71,-61.06,0,0,0
0,0,0,2014136,-69.71,-61.06,1,16,11
0,0,0,2014137,-69.71,-61.06,0,0,0
0,0,0,2014138,-69.71,-61.06,0,0,0
0,0,0,2014139,-69.71,-61.06,0,0,0
0,0,0,2014140,-69.71,-61.06,0,0,0
0,0,0,2014141,-69.71,-61.06,0,0,0
0,0,0,2014142,-69.71,-61.06,0,0,0
0,0,0,2014143,-69.71,-61.06,1,16,11
0,0,0,2014144,-69.71,-61.06,0,0,0
0,0,0,2014145,-69.71,-61.06,0,0,0
0,0,0,2014146,-69.71,-61.06,0,0,0
0,0,0,2014147,-69.71,-61.06,0,0,0
0,0,0,2014148,-69.71,-61.06,0,0,0
0,0,0,2014149,-69.71,-61.06,0,0,0
0,0,0,2014150,-69.71,-61.06,1,16,11
0,0,0,2014151,-69.71,-61.06,0,0,0
0,0,0,2014152,-69.71,-61.06,0,0,0
0,0,0,2014153,-69.71,-61.06,0,0,0
0,0,0,2014154,-69.71,-61.06,0,0,0
0,0,0,2014155,-69.71,-61.06,0,0,0
0,0,0,2014156,-69.71,-61.06,0,0,0
0,0,0,2014157,-69.71,-61.06,1,16,11
0,0,0,2014158,-69.71,-61.06,0,0,0
0,0,0,2014159,-69.71,-61.06,0,0,0
0,0,0,2014160,-69.71,-61.06,0,0,0
0,0,0,2014161,-69.71,-61.06,0,0,0
0,0,0,2014162,-69.71,-61.06,0,0,0
0,0,0,2014163,-69.71,-61.06,0,0,0
0,0,0,2014164,-69.71,-61.06,1,16,11
0,0,0,2014178,-69.71,-61.06,1,16,11
0,0,0,2014179,-69.71,-61.06,0,0,0
0,0,0,2014180,-69.71,-61.06,0,0,0
0,0,0,2014181,-69.71,-61.06,0,0,0
0,0,0,2014182,-69.71,-61.06,0,0,0
0,0,0,2014183,-69.71,-61.06,0,0,0
0,0,0,2014184,-69.71,-61.06,0,0,0
0,0,0,2014185,-69.71,-61.06,1,16,11
0,0,0,2014186,-69.71,-61.06,0,0,0
0,0,0,2014187,-69.71,-61.06,0,0,0
0,0,0,2014188,-69.71,-61.06,0,0,0
0,0,0,2014189,-69.71,-61.06,0,0,0
0,0,0,2014190,-69.71,-61.06,0,0,0
0,0,0,2014191,-69.71,-61.06,0,0,0
0,0,0,2014192,-69.71,-61.06,1,16,11
-69.3447,-61.0599,1,2014205,0,0,0,0,0
-69.7261,-60.7879,1,2014206,-69.71,-61.06,1,16,11
-69.7261,-60.7879,1,2014207,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014208,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014209,-69.71,-61.06,0,0,0
-69.7261,-60.7879,0,2014210,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014211,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014212,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014213,-69.71,-61.06,1,16,11
-69.7261,-60.7879,1,2014214,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014215,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014216,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014217,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014218,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014219,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014220,-69.71,-61.06,1,16,11
-69.7261,-60.7879,1,2014221,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014222,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014223,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014224,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014225,-69.71,-61.06,0,0,0
-69.7261,-60.7879,1,2014226,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014227,-69.71,-61.06,1,16,11
-69.7337,-60.9509,1,2014228,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014229,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014230,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014231,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014232,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014233,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014234,-69.71,-61.06,1,16,11
-69.7337,-60.9509,1,2014235,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014236,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014237,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014238,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014239,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014240,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014241,-69.71,-61.06,1,16,11
-69.7337,-60.9509,1,2014242,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014243,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014244,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014245,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014246,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014247,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014248,-69.71,-61.06,1,16,11
-69.7337,-60.9509,1,2014249,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014250,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014251,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014252,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014253,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014254,-69.71,-61.06,0,0,0
-69.7337,-60.9509,0,2014255,-69.71,-61.06,1,16,11
-69.7337,-60.9509,0,2014256,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014257,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014258,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014259,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014260,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014261,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014262,-69.71,-61.06,1,16,11
-69.7337,-60.9509,1,2014263,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014264,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014265,-69.71,-61.06,0,0,0
-69.7337,-60.9509,0,2014266,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014267,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014268,-69.71,-61.06,0,0,0
-69.7337,-60.9509,0,2014269,-69.71,-61.06,1,16,11
-69.7337,-60.9509,0,2014270,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014271,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014272,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014273,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014274,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014275,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014276,-69.71,-61.06,1,16,11
-69.7337,-60.9509,1,2014277,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014278,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014279,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014280,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014281,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014282,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014283,-69.71,-61.06,1,16,11
-69.7337,-60.9509,1,2014284,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014285,-69.71,-61.06,0,0,0
-69.7337,-60.9509,1,2014286,-69.71,-61.06,0,0,0
