ascat_1,ascat_2,ascat_3,date
-75.3439,-27.2676,1,2016001
-75.4043,-27.2352,1,2016002
-75.4043,-27.2352,1,2016003
-75.4043,-27.2352,1,2016004
-75.4043,-27.2352,1,2016005
-75.5639,-27.3386,1,2016006
-75.5639,-27.3386,1,2016007
-75.617,-27.4409,1,2016008
-75.5942,-27.6997,1,2016009
-75.5256,-27.8611,1,2016010
-75.5256,-27.8611,1,2016011
-75.5919,-28.0709,1,2016012
-75.567,-27.9822,1,2016013
-75.567,-27.9822,1,2016014
-75.6639,-28.0492,1,2016015
-75.6639,-28.0492,1,2016016
-75.7033,-27.7359,1,2016017
-75.7033,-27.7359,1,2016018
-75.7463,-27.4927,1,2016019
-75.8062,-27.4781,1,2016020
-75.8062,-27.4781,1,2016021
-75.8189,-27.2745,1,2016022
-75.8189,-27.2745,1,2016023
-75.842,-27.0043,1,2016024
-75.842,-27.0043,1,2016025
-75.8839,-26.8528,1,2016026
-75.8839,-26.8528,1,2016027
-75.8839,-26.8528,1,2016028
-75.8839,-26.8528,1,2016029
-75.8839,-26.8528,1,2016030
-75.8839,-26.8528,0,2016031
-75.8839,-26.8528,1,2016032
-75.9305,-27.0305,1,2016033
-75.9621,-27.1418,1,2016034
-75.9786,-26.9081,1,2016035
-76.0114,-26.9236,1,2016036
-76.0114,-26.9236,1,2016037
-76.0114,-26.9236,1,2016038
-76.0278,-27.1156,0,2016039
-76.0441,-27.3076,1,2016040
-76.0441,-27.3076,1,2016041
-76.0441,-27.3076,1,2016042
-76.057,-27.5696,1,2016043
-76.057,-27.5696,1,2016044
-76.0868,-27.7877,1,2016045
-76.0868,-27.7877,1,2016046
-76.0856,-28.1492,1,2016047
-76.0856,-28.1492,1,2016048
-76.0856,-28.1492,1,2016049
-76.0856,-28.1492,1,2016050
-76.1331,-28.4099,1,2016051
-76.1271,-28.3593,1,2016052
-76.1271,-28.3593,1,2016053
-76.1271,-28.3593,1,2016054
-76.1271,-28.3593,0,2016055
-76.1271,-28.3593,1,2016056
-76.1271,-28.3593,1,2016057
-76.1271,-28.3593,1,2016058
-76.1271,-28.3593,1,2016059
-76.235,-28.8824,1,2016060
-76.235,-28.8824,1,2016061
-76.2763,-29.0805,1,2016062
-76.2763,-29.0805,1,2016063
-76.2763,-29.0805,1,2016064
-76.2763,-29.0805,1,2016065
-76.2763,-29.0805,1,2016066
-76.2763,-29.0805,1,2016067
-76.3853,-29.6776,1,2016068
-76.3853,-29.6776,1,2016069
-76.3295,-29.8907,1,2016070
-76.5038,-30.186,1,2016071
-76.5038,-30.186,1,2016072
-76.5038,-30.186,1,2016073
-76.5038,-30.186,1,2016074
-76.3962,-30.6823,1,2016075
-76.3963,-30.8532,1,2016076
-76.3963,-30.8532,1,2016077
-76.3963,-30.8532,1,2016078
-76.3963,-30.8532,1,2016079
-76.339,-31.0036,1,2016080
-76.339,-31.0036,1,2016081
-76.4079,-30.862,1,2016082
-76.4079,-30.862,1,2016083
-76.3402,-30.4827,1,2016084
-76.2936,-31.4995,1,2016085
-76.4196,-31.7871,1,2016086
-76.3629,-31.9852,1,2016087
-76.3629,-31.9852,1,2016088
-76.4144,-32.2194,1,2016089
-76.3372,-32.0712,1,2016090
-76.1268,-31.618,1,2016091
-76.0617,-31.6019,1,2016092
-76.0251,-31.6966,1,2016093
-76.0656,-31.6681,1,2016094
-76.0249,-31.611,1,2016095
-75.9339,-31.3344,1,2016096
-75.8426,-31.1538,1,2016097
-75.9802,-31.5444,1,2016098
-76.1617,-32.0114,1,2016099
-76.0618,-31.7525,1,2016100
-76.0336,-31.6333,1,2016101
-76.1306,-31.8829,1,2016102
-76.3469,-32.4546,1,2016103
-76.3121,-32.6517,1,2016104
-76.4032,-32.616,1,2016105
-76.4687,-32.9828,1,2016106
-76.4687,-32.9828,1,2016107
-76.4687,-32.9828,1,2016108
-76.4687,-32.9828,1,2016109
-76.4832,-33.2797,1,2016110
-76.7027,-34.0193,1,2016111
-76.7263,-34.1491,1,2016112
-76.7555,-34.5942,1,2016113
-76.7888,-34.611,1,2016114
-76.7472,-34.6302,1,2016115
-76.7624,-34.6092,0,2016116
-76.7959,-34.563,0,2016117
-76.8293,-34.5168,0,2016118
-76.8445,-34.4958,1,2016119
-76.83,-34.5769,1,2016120
-76.83,-34.5769,1,2016121
-76.83,-34.5769,1,2016122
-76.83,-34.5769,0,2016123
-76.83,-34.5769,1,2016124
-76.83,-34.5769,1,2016125
-76.7299,-34.8914,1,2016126
-76.6268,-35.2224,1,2016127
-76.6256,-35.0025,1,2016128
-76.5824,-34.9641,1,2016129
-76.5824,-34.9641,0,2016130
-76.5824,-34.9641,1,2016131
-76.5326,-34.9662,1,2016132
-76.5326,-34.9662,1,2016133
-76.5047,-34.8988,0,2016134
-76.4529,-34.7738,0,2016135
-76.425,-34.7064,1,2016136
-76.425,-34.7064,1,2016137
-76.4507,-34.8726,1,2016138
-76.4622,-35.0277,1,2016139
-76.4499,-35.0206,1,2016140
-76.3816,-35.0582,1,2016141
-76.382,-34.9085,1,2016142
-76.382,-34.9085,1,2016143
-76.3599,-34.8136,1,2016144
-76.3599,-34.8136,1,2016145
-76.2927,-34.6167,1,2016146
-76.2166,-34.633,1,2016147
-76.2598,-34.6096,1,2016148
-76.1904,-34.6453,1,2016149
-76.1519,-34.5044,1,2016150
-76.1911,-34.4993,1,2016151
-76.0406,-34.2756,1,2016152
-76.0692,-34.2688,1,2016153
-76.0692,-34.2688,1,2016154
-75.9599,-34.2511,1,2016155
-75.708,-33.7562,1,2016156
-75.708,-33.7562,1,2016157
-75.5976,-33.7115,1,2016158
-75.4007,-33.4942,1,2016159
-75.4007,-33.4942,1,2016160
-75.4531,-33.576,1,2016161
