ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,size_1,size_2
-65.0292,132.6083,1,2012127,-65.03,132.61,1,-65.0292,132.6083,1,12,6
-65.0612,132.6289,1,2012128,-65.1198,132.5312,0,-65.0612,132.6289,1,0,0
-65.0422,132.6435,1,2012129,-65.2049,132.4425,0,-65.0422,132.6435,1,0,0
-65.0565,132.641,1,2012130,-65.2834,132.3447,0,-65.0565,132.641,1,0,0
-65.1847,132.3432,1,2012131,-65.3531,132.2387,0,-65.1847,132.3432,1,0,0
-65.2124,132.27,1,2012132,-65.4122,132.1253,0,-65.2124,132.27,1,0,0
-65.3074,132.2998,1,2012133,-65.4585,132.0055,0,-65.3074,132.2998,1,0,0
-65.3599,132.3369,1,2012134,-65.49,131.88,1,-65.3599,132.3369,1,12,6
-65.3615,132.1565,1,2012135,-65.5128,131.7343,0,-65.3615,132.1565,1,0,0
-65.4579,132.2536,1,2012136,-65.5338,131.5613,0,-65.4579,132.2536,1,0,0
-65.4844,132.0419,1,2012137,-65.5523,131.3734,0,-65.4844,132.0419,1,0,0
-65.4973,131.9375,1,2012138,-65.5679,131.183,0,-65.4973,131.9375,1,0,0
-65.605,131.2152,1,2012139,-65.5798,131.0024,0,-65.605,131.2152,1,0,0
-65.5997,131.0496,1,2012140,-65.5873,130.844,0,-65.5997,131.0496,1,0,0
-65.5631,130.8607,1,2012141,-65.59,130.72,1,-65.5631,130.8607,1,12,6
-65.587,130.9038,1,2012142,-65.584,130.6257,0,-65.587,130.9038,1,0,0
-65.5432,130.7355,1,2012143,-65.5677,130.5452,0,-65.5432,130.7355,1,0,0
-65.4948,130.726,1,2012144,-65.5436,130.4742,0,-65.4948,130.726,1,0,0
-65.481,130.5101,1,2012145,-65.5143,130.4084,0,-65.481,130.5101,1,0,0
-65.4379,130.4493,1,2012146,-65.4822,130.3437,0,-65.4379,130.4493,1,0,0
-65.4258,130.411,1,2012147,-65.4499,130.2756,0,-65.4258,130.411,1,0,0
-65.405,130.2516,1,2012148,-65.42,130.2,1,-65.405,130.2516,1,12,6
-65.3515,130.0749,1,2012149,-65.3886,130.121,0,-65.3515,130.0749,1,0,0
-65.3331,129.9079,1,2012150,-65.3522,130.0437,0,-65.3331,129.9079,1,0,0
-65.2887,129.8877,1,2012151,-65.3134,129.9652,0,-65.2887,129.8877,1,0,0
-65.3187,129.8386,1,2012152,-65.275,129.8824,0,-65.3187,129.8386,1,0,0
-65.3236,129.8617,1,2012153,-65.2398,129.7926,0,-65.3236,129.8617,1,0,0
-65.2737,129.8577,1,2012154,-65.2106,129.6928,0,-65.2737,129.8577,1,0,0
-65.2859,129.7865,1,2012155,-65.19,129.58,1,-65.2859,129.7865,1,12,6
-65.2423,129.8019,1,2012156,-65.1749,129.4191,0,-65.2423,129.8019,1,0,0
-65.2067,129.6838,1,2012157,-65.1605,129.1976,0,-65.2067,129.6838,1,0,0
-65.1893,129.6969,1,2012158,-65.1474,128.9466,0,-65.1893,129.6969,1,0,0
-65.2047,129.6533,1,2012159,-65.1363,128.6973,0,-65.2047,129.6533,1,0,0
-65.2195,129.5006,1,2012160,-65.1276,128.4806,0,-65.2195,129.5006,1,0,0
-65.1968,129.3087,1,2012161,-65.122,128.3278,0,-65.1968,129.3087,1,0,0
-65.2105,128.9724,1,2012162,-65.12,128.27,1,-65.2105,128.9724,1,12,6
-65.1516,128.9601,1,2012163,-65.12,128.27,0,-65.1516,128.9601,1,0,0
-65.1624,128.6678,1,2012164,-65.12,128.27,0,-65.1624,128.6678,1,0,0
-65.1426,128.4643,1,2012165,-65.12,128.27,0,-65.1426,128.4643,1,0,0
-65.1561,128.4238,1,2012166,-65.12,128.27,0,-65.1561,128.4238,1,0,0
