ascat_1,ascat_2,ascat_3,date
-66.5029,142.1028,1,2015295
-66.5029,142.1028,1,2015296
-66.5029,142.1028,1,2015297
-66.5029,142.1028,1,2015298
-66.4361,141.9467,1,2015299
-66.4361,141.9467,1,2015300
-66.4707,141.8917,1,2015301
-66.4707,141.8917,1,2015302
-66.4707,141.8917,1,2015303
-66.4112,141.9485,1,2015304
-66.3628,141.9537,1,2015305
-66.3074,141.9369,1,2015306
-66.2284,141.9662,1,2015307
-66.2036,141.8016,1,2015308
-66.2036,141.8016,1,2015309
-66.2036,141.8016,1,2015310
-66.2036,141.8016,1,2015311
-66.0779,141.6508,1,2015312
-65.9668,141.319,0,2015313
-65.9075,141.0824,1,2015314
-65.9075,141.0824,1,2015315
-65.839,141.031,1,2015316
-65.784,140.8632,1,2015317
-65.7676,140.7371,1,2015318
-65.7285,140.6619,1,2015319
-65.7285,140.6619,1,2015320
-65.7285,140.6619,1,2015321
-65.6515,140.397,1,2015322
-65.6515,140.397,1,2015323
-65.6127,140.2459,1,2015324
-65.6127,140.2459,1,2015325
-65.6127,140.2459,1,2015326
-65.5886,139.9876,1,2015327
-65.5101,139.84,1,2015328
-65.5101,139.84,1,2015329
-65.5101,139.84,1,2015330
-65.5101,139.84,1,2015331
-65.5101,139.84,1,2015332
-65.5101,139.84,1,2015333
-65.5101,139.84,0,2015334
-65.5101,139.84,1,2015335
-65.5101,139.84,1,2015336
-65.5101,139.84,1,2015337
-65.4826,139.6128,1,2015338
-65.4826,139.6128,1,2015339
-65.4826,139.6128,1,2015340
-65.4645,139.5999,0,2015341
-65.4463,139.587,1,2015342
-65.4463,139.587,1,2015343
-65.4463,139.587,1,2015344
-65.4463,139.587,1,2015345
-65.4463,139.587,1,2015346
-65.3757,139.4597,1,2015347
-65.3757,139.4597,0,2015348
-65.3757,139.4597,1,2015349
-65.3757,139.4597,1,2015350
-65.3757,139.4597,1,2015351
-65.3577,139.1892,1,2015352
-65.3577,139.1892,1,2015353
-65.396,139.1879,1,2015354
-65.396,139.1879,1,2015355
-65.4109,139.3056,1,2015356
-65.4109,139.3056,1,2015357
-65.4109,139.3056,1,2015358
-65.4109,139.3056,1,2015359
-65.4109,139.3056,1,2015360
-65.4109,139.3056,1,2015361
-65.4109,139.3056,0,2015362
-65.4109,139.3056,1,2015363
-65.3977,139.3745,1,2015364
-65.4106,139.4152,1,2015365
-65.4106,139.4152,1,2016001
-65.4106,139.4152,1,2016002
-65.4106,139.4152,1,2016003
-65.4106,139.4152,1,2016004
-65.4106,139.4152,1,2016005
-65.2299,139.5692,1,2016006
-65.2299,139.5692,1,2016007
-65.2299,139.5692,1,2016008
-65.2299,139.5692,1,2016009
