ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-65.9357,51.5394,1,2014250,0,0,0,0,0
-65.9357,51.5394,1,2014251,0,0,0,0,0
-65.9357,51.5394,1,2014252,0,0,0,0,0
-65.9357,51.5394,1,2014253,0,0,0,0,0
-65.9357,51.5394,1,2014254,0,0,0,0,0
-65.9357,51.5394,1,2014255,-65.81,51.55,1,11,6
-65.9357,51.5394,1,2014256,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014257,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014258,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014259,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014260,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014261,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014262,-65.81,51.55,1,11,6
-65.9357,51.5394,1,2014263,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014264,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014265,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014266,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014267,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014268,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014269,-65.81,51.55,1,11,6
-65.9357,51.5394,1,2014270,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014271,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014272,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014273,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014274,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014275,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014276,-65.81,51.55,1,11,6
-65.9357,51.5394,1,2014277,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014278,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014279,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014280,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014281,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014282,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014283,-65.81,51.55,1,11,6
-65.9357,51.5394,1,2014284,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014285,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014286,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014287,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014288,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014289,-65.81,51.55,0,0,0
-65.9357,51.5394,1,2014290,-65.81,51.55,1,11,6
