ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
0,0,0,2015240,-74.95,-103,1,11,4
-74.7368,-103.1033,1,2015242,0,0,0,0,0
-74.7916,-103.3006,1,2015243,0,0,0,0,0
-74.7861,-103.4676,0,2015244,0,0,0,0,0
-74.7726,-103.6371,1,2015245,0,0,0,0,0
-74.7389,-103.8452,1,2015246,0,0,0,0,0
-74.6647,-104.0501,1,2015247,0,0,0,0,0
-74.6647,-104.0501,1,2015248,0,0,0,0,0
-74.6647,-104.0501,1,2015249,0,0,0,0,0
-74.7006,-104.0873,1,2015250,0,0,0,0,0
-74.7006,-104.0873,1,2015251,0,0,0,0,0
-74.7006,-104.0873,1,2015252,0,0,0,0,0
-74.7006,-104.0873,1,2015253,0,0,0,0,0
-74.7006,-104.0873,1,2015254,0,0,0,0,0
-74.7006,-104.0873,1,2015255,0,0,0,0,0
-74.7006,-104.0873,1,2015256,0,0,0,0,0
-74.7006,-104.0873,0,2015257,0,0,0,0,0
-74.7006,-104.0873,1,2015258,0,0,0,0,0
-74.7006,-104.0873,1,2015259,0,0,0,0,0
-74.7006,-104.0873,0,2015260,0,0,0,0,0
-74.7006,-104.0873,1,2015261,0,0,0,0,0
-74.7006,-104.0873,1,2015262,0,0,0,0,0
-74.7006,-104.0873,1,2015263,0,0,0,0,0
-74.7203,-104.0278,0,2015264,0,0,0,0,0
-74.74,-103.9682,1,2015265,0,0,0,0,0
-74.74,-103.9682,1,2015266,0,0,0,0,0
-74.74,-103.9682,1,2015267,0,0,0,0,0
-74.74,-103.9682,1,2015268,0,0,0,0,0
-74.7344,-104.157,1,2015269,0,0,0,0,0
-74.6836,-104.2661,1,2015270,0,0,0,0,0
-74.6836,-104.2661,1,2015271,0,0,0,0,0
