ascat_1,ascat_2,ascat_3,date
-77.0801,-155.288,1,2016001
-77.0801,-155.288,1,2016002
-77.0801,-155.288,1,2016003
-77.0801,-155.288,1,2016004
-77.0801,-155.288,1,2016005
-77.0801,-155.288,1,2016006
-77.0801,-155.288,1,2016007
-77.0801,-155.288,1,2016008
-77.0801,-155.288,1,2016009
-77.0801,-155.288,1,2016010
-77.0801,-155.288,1,2016011
-77.1747,-155.11,1,2016012
-76.9955,-155.0523,1,2016014
-76.9955,-155.0523,1,2016015
-76.9955,-155.0523,1,2016016
-76.9955,-155.0523,1,2016017
-76.9955,-155.0523,0,2016018
-76.9955,-155.0523,1,2016019
-76.9955,-155.0523,1,2016020
-76.9955,-155.0523,1,2016021
-76.9955,-155.0523,1,2016022
-77.0118,-155.0073,1,2016023
-77.0118,-155.0073,1,2016024
-76.9841,-155.2474,1,2016025
-76.9841,-155.2474,1,2016026
-76.9841,-155.2474,1,2016027
-76.9841,-155.2474,1,2016028
-76.9841,-155.2474,1,2016029
-76.9841,-155.2474,1,2016030
-76.9841,-155.2474,1,2016031
-77.0171,-155.331,1,2016032
-77.0171,-155.331,1,2016033
-77.0171,-155.331,1,2016034
-77.0171,-155.331,1,2016035
-77.0171,-155.331,1,2016036
-77.0171,-155.331,1,2016037
-77.0171,-155.331,1,2016038
-77.0171,-155.331,1,2016039
-77.0467,-155.3463,0,2016040
-77.0763,-155.3615,1,2016041
-77.0763,-155.3615,1,2016042
-77.0763,-155.3615,1,2016043
-77.0817,-155.3117,1,2016044
-77.0817,-155.3117,1,2016045
-77.0817,-155.3117,1,2016046
-77.0817,-155.3117,0,2016047
-77.0817,-155.3117,1,2016048
-77.0817,-155.3117,1,2016049
-77.0817,-155.3117,1,2016050
-77.0817,-155.3117,1,2016051
-77.0817,-155.3117,1,2016052
-77.0817,-155.3117,1,2016053
-77.0817,-155.3117,1,2016054
-77.0817,-155.3117,0,2016055
-77.0817,-155.3117,1,2016056
-77.0817,-155.3117,1,2016057
-77.0817,-155.3117,1,2016058
-77.0817,-155.3117,1,2016059
-77.0817,-155.3117,0,2016060
