ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,size_1,size_2
0,0,0,2000050,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000051,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000052,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000053,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000054,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000055,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000056,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000057,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000058,-68,147,1,0,0,0,-67.7816,147.1215,1,15,11
0,0,0,2000059,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000060,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000061,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000062,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000063,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000064,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000065,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000066,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000067,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000068,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000069,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000070,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000071,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000072,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000073,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000074,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000075,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000076,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000077,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000078,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000079,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000080,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000081,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000082,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000083,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000084,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000085,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000086,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000087,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000088,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000089,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000090,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000091,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000092,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000093,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000094,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000095,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000096,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000097,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
0,0,0,2000098,0,0,0,0,0,0,-67.7816,147.1215,1,0,0
