ascat_1,ascat_2,ascat_3,date
-66.15,142.967,1,2016001
-66.15,142.967,1,2016002
-66.15,142.967,1,2016003
-66.15,142.967,1,2016004
-66.15,142.967,1,2016005
-66.15,142.967,1,2016006
-66.15,142.967,1,2016007
-66.15,142.967,1,2016008
-66.15,142.967,1,2016009
-66.15,142.967,1,2016010
-66.15,142.967,1,2016011
-66.15,142.967,1,2016012
-66.15,142.967,0,2016013
-66.15,142.967,1,2016014
-66.15,142.967,1,2016015
-66.15,142.967,1,2016016
-66.15,142.967,1,2016017
-66.15,142.967,1,2016018
-66.15,142.967,1,2016019
-66.15,142.967,1,2016020
-66.15,142.967,1,2016021
-66.15,142.967,1,2016022
-66.15,142.967,1,2016023
-66.15,142.967,1,2016024
-66.15,142.967,1,2016025
-66.15,142.967,1,2016026
-66.15,142.967,1,2016027
-66.15,142.967,1,2016028
-66.15,142.967,1,2016029
-66.15,142.967,1,2016030
-66.15,142.967,0,2016031
-66.15,142.967,1,2016032
-66.15,142.967,1,2016033
-66.15,142.967,1,2016034
-66.15,142.967,1,2016035
-66.15,142.967,1,2016036
-66.15,142.967,1,2016037
-66.15,142.967,1,2016038
-66.15,142.967,1,2016039
-66.15,142.967,0,2016040
-66.15,142.967,1,2016041
-66.15,142.967,1,2016042
-66.15,142.967,1,2016043
-66.15,142.967,1,2016044
-66.15,142.967,1,2016045
-66.15,142.967,1,2016046
-66.1305,143.0064,1,2016047
-66.1305,143.0064,1,2016048
-66.1305,143.0064,1,2016049
-66.1305,143.0064,1,2016050
-66.1305,143.0064,1,2016051
-66.1305,143.0064,1,2016052
-66.1305,143.0064,1,2016053
-66.1305,143.0064,1,2016054
-66.1441,143.0101,1,2016055
-66.1441,143.0101,1,2016056
-66.1441,143.0101,1,2016057
-66.1441,143.0101,1,2016058
-66.1441,143.0101,1,2016059
-66.1441,143.0101,1,2016060
-66.1441,143.0101,1,2016061
-66.1441,143.0101,1,2016062
-66.1441,143.0101,1,2016063
-66.1441,143.0101,1,2016064
-66.1441,143.0101,1,2016065
-66.1441,143.0101,1,2016066
