FID,id,set_code,date_time_utc,timestamp_gps_utc,geom,longitude,latitude,ship_course_over_ground_deg,ship_heading_gps_deg,ship_heading_gyro_deg,ship_log_knot,ship_spd_over_ground_knot,pitch_ten_sec_max_deg,pitch_ten_sec_min_deg,roll_ten_sec_max_deg,roll_ten_sec_min_deg,accum_precipitation_owi_mm,ambient_light_owi_candlesperm2,atm_press_hpa,bphase_optode_nounit,chlorophyll_ugperl,conductivity_tsg_mspercm,dew_point_degc,dphase_optode_nounit,flow_rate_tsg_lpermin,fluorescence_nounit,fluoromtr_flow_rate_lpermin,oxy_concen_corr_mmol,oxy_concen_uncorr_mmol,precipitation_rate_owi_mmperh,rad_biometric_medperhr,rad_infrrd_port_wperm2,rad_infrrd_strbrd_wperm2,rad_lcr_port_mmolepersperm2,rad_lcr_strbrd_mmolepersperm2,rad_lcr_wperm2,rad_par_port_wperme,rad_par_strbrd_wperme,rad_slr_port_wperm2,rad_slr_strbrd_wperm2,rad_uv_wperm2,rain_accum_foremst_mm,rel_humidity_port_percent,rel_humidity_strbrd_percent,salinity_optode_psu,salinity_other_psu,salinity_tsg_psu,temp_air_degc,temp_air_port_degc,temp_air_strbrd_degc,temp_biometer_degc,temp_infrrd_snsor_port_degc,temp_infrrd_snsor_strbrd_degc,temp_sea_wtr_degc,temp_sea_wtr_high_res_degc,temp_tsg_degc,visibility_owi_km,wnd_dir_port_corr_deg,wnd_dir_port_uncorr_deg,wnd_dir_strbrd_corr_deg,wnd_dir_strbrd_uncorr_deg,wnd_spd_port_corr_knot,wnd_spd_port_uncorr_knot,wnd_spd_strbrd_corr_knot,wnd_spd_strbrd_uncorr_knot,wthr_indictr_code_owi_nounit,wtr_depth_biometr_m,wtr_depth_m,wtr_temp_optode_degc
underway_1200.39446871,39446871,201516020,2015-12-09T00:00:05,42347.000055,MULTIPOINT ((-42.882586 147.339645)),147.339645,-42.882586,0,80.107425,80.199997,,0.026552,0.59795,0.42478,-0.73427,-1.07741,,,999.593564,32.566886,,,,36.426885,14.363792,368.304348,,232.387365,252.011145,,,,364.922433,,,,,1938.955441,,1090.680428,,,39.833814,38.501282,34.549622,,,,21.299999,21.801282,,,23.207051,14.963543,,,,,,,,,,,,,6.899963,6.434761,15.906885
underway_1200.39446974,39446974,201516020,2015-12-09T00:20:10,42347.013998,MULTIPOINT ((-42.88257 147.339659)),147.339659,-42.88257,17.01018,79.999652,80,,0.034782,0.79253,0.58194,-0.1884,-0.48232,,,999.879954,32.610001,,42.943001,,36.471386,14.356724,358.158549,4.813,232.246503,251.837541,,,348.959856,350.374738,,,,543.238678,570.257755,365.503874,499.224351,,12.108325,34.867485,33.954299,34.555861,,34.555367,,22.1,22.9,,23.303101,24.686322,14.956449,,15.527266,,296.907818,216.727708,292.974105,212.680736,12.724951,12.729674,11.746323,11.747541,,6.788112,6.293641,15.831385
underway_1200.39447076,39447076,201516020,2015-12-09T00:40:00,42347.027768,MULTIPOINT ((-42.882591 147.339633)),147.339633,-42.882591,155.087029,80.110196,80.099998,,0.04097,0.96619,0.73857,-0.14412,-0.66332,,,999.997135,32.59,,42.893036,,36.450001,14.318517,359.091286,4.792958,232.697458,252.340875,,,345.74125,347.680646,,,,2075.971255,2089.268397,1103.300049,1098.630005,,12.096716,35.317632,33.600704,34.55503,,34.55407,,22.282367,23.150352,,23.335405,25.007595,14.967331,,15.476966,,318.47976,237.562185,316.567616,235.850048,10.461028,10.438501,10.087422,10.064857,,6.75,6.166833,15.82
underway_1200.39447179,39447179,201516020,2015-12-09T01:00:05,42347.041722,MULTIPOINT ((-42.882637 147.339624)),147.339624,-42.882637,0,80.130819,80.177819,,0.017887,0.81996,0.42543,-0.23946,-0.62964,,,1000.426934,32.580002,,42.921001,,36.433179,14.319522,346.380311,4.783666,232.569,252.260927,,,332.40178,336.949307,,,,2080.391588,2119.917613,1100.347488,1087.823571,,12.078116,34.599998,32.999111,34.535999,,34.535999,,21.700001,22.700001,,23.17,24.882999,15.015471,,15.526,,311.3916,230.552444,309.3916,228.494394,28.669652,28.68532,26.63533,26.65036,,6.812125,6.59,15.86
underway_1200.39447281,39447281,201516020,2015-12-09T01:20:00,42347.055549,MULTIPOINT ((-42.882645 147.339605)),147.339605,-42.882645,170.846496,80.324859,80.300003,,0.06367,0.83667,0.70509,-0.45003,-0.70885,,,1000.616993,32.290001,,42.921087,,36.130001,14.321422,359.944099,4.789583,237.520287,257.614413,,,331.03862,330.585368,,,,678.123416,646.328912,343.131871,351.081965,,12.0622,33.947562,32.346384,34.561001,,34.561001,,21.4,22.299999,,22.7712,24.811967,14.971695,,15.498085,,314.385233,233.571762,312.385233,231.700602,14.640917,14.657685,14.478117,14.494312,,6.911362,6.451814,15.885083
underway_1200.39447383,39447383,201516020,2015-12-09T01:40:00,42347.069434,MULTIPOINT ((-42.882626 147.339609)),147.339609,-42.882626,0,79.786475,79.811691,,0.008286,0.8434,0.66841,-0.27864,-0.55821,,,1000.54855,32.32,,42.896,,36.154968,14.351459,383.614907,4.81,237.708987,258.010059,,,333.456316,328.867345,,,,2093.6979,2088.132793,1099.800049,1096.607819,,12.0622,33.072275,30.996315,34.558005,,34.558912,,21.9,22.799999,,23.570917,25.110427,14.958754,,15.474129,,277.716585,197.188242,273.283415,193.070045,14.335879,14.338489,13.650686,13.651854,,6.57,6.761435,15.8
underway_1200.39447486,39447486,201516020,2015-12-09T02:00:00,42347.083331,MULTIPOINT ((-42.882614 147.339647)),147.339647,-42.882614,164.124498,80.138812,80.199997,,0.055215,0.74194,0.55481,-0.08244,-0.55432,,,1000.539978,32.27,,42.972915,,36.110001,14.392839,373.706004,4.826857,237.947511,258.075015,,,331.693895,330.983401,,,,2118.414616,2089.805988,1119.356499,1103.866653,,12.0352,31.668819,29.5,34.548495,,34.549872,,21.299999,22.5,,22.851,25.365601,14.982243,,15.564042,,300.662268,219.72849,298.216357,217.276512,12.025971,12.015567,10.696776,10.687863,,6.667263,7.68,15.88
underway_1200.39447589,39447589,201516020,2015-12-09T02:20:05,42347.097274,MULTIPOINT ((-42.882477 147.339646)),147.339646,-42.882477,0,80.126629,80.300003,,0.017509,0.842295,0.567007,-0.37503,-0.728757,,,1001.01309,32.303465,,42.920801,,36.139999,14.366739,408.720207,4.839668,237.433445,257.614159,,,325.448821,325.767553,,,,2105.939194,2076.300049,1112.31387,1091.744893,,12.0352,32.263504,30.200001,34.577692,,34.578598,,21.200001,22.20189,,22.665001,25.041642,14.877239,,15.4782,,314.459754,233.620667,315.770123,234.685065,23.575863,23.59884,23.867292,23.890791,,6.626778,6.262264,15.863465
underway_1200.39447691,39447691,201516020,2015-12-09T02:40:00,42347.111101,MULTIPOINT ((-42.882499 147.339703)),147.339703,-42.882499,0,80.131458,80.099998,,0.030219,0.53325,0.29687,0.22236,0.0456,,,1000.883463,32.29509,,42.912041,,36.130001,14.412327,401.087992,4.799327,237.698379,257.919279,,,327.051361,327.680132,,,,581.541933,2070.625884,1120.839966,1099.976848,,12.031079,29.799999,27.905711,34.579491,,34.579041,,21.514086,22.747144,,23.112656,25.562914,14.870495,,15.468,,310.220022,229.414932,303.957296,223.473385,19.786234,19.790639,17.914884,17.918552,,6.597666,6.423737,15.85
underway_1200.39447794,39447794,201516020,2015-12-09T03:00:00,42347.124998,MULTIPOINT ((-42.882551 147.339702)),147.339702,-42.882551,0,80.442395,80.480281,,0.032803,0.5744,0.4025,-0.30884,-0.57221,,,1000.957251,32.450001,,42.870998,,36.299999,14.356,826.795031,3.378847,235.467085,255.521757,,,326.827728,323.83475,,,,2045.865857,2027.788676,1078.004474,1062.433436,,12.031078,30.347555,29.259793,34.599439,,34.598126,,21.299999,21.746736,,23.17,24.8027,14.847354,,15.403874,,281.172234,200.518542,275.709142,194.732302,17.356015,17.336467,16.130653,16.108391,,6.569141,6.938471,15.779591
