FID,id,set_code,date_time_utc,timestamp_gps_utc,geom,longitude,latitude,ship_course_over_ground_deg,ship_heading_gps_deg,ship_heading_gyro_deg,ship_log_knot,ship_spd_over_ground_knot,pitch_ten_sec_max_deg,pitch_ten_sec_min_deg,roll_ten_sec_max_deg,roll_ten_sec_min_deg,accum_precipitation_owi_mm,ambient_light_owi_candlesperm2,atm_press_hpa,bphase_optode_nounit,chlorophyll_ugperl,conductivity_tsg_mspercm,dew_point_degc,dphase_optode_nounit,flow_rate_tsg_lpermin,fluorescence_nounit,fluoromtr_flow_rate_lpermin,oxy_concen_corr_mmol,oxy_concen_uncorr_mmol,precipitation_rate_owi_mmperh,rad_biometric_medperhr,rad_infrrd_port_wperm2,rad_infrrd_strbrd_wperm2,rad_lcr_port_mmolepersperm2,rad_lcr_strbrd_mmolepersperm2,rad_lcr_wperm2,rad_par_port_wperme,rad_par_strbrd_wperme,rad_slr_port_wperm2,rad_slr_strbrd_wperm2,rad_uv_wperm2,rain_accum_foremst_mm,rel_humidity_port_percent,rel_humidity_strbrd_percent,salinity_optode_psu,salinity_other_psu,salinity_tsg_psu,temp_air_degc,temp_air_port_degc,temp_air_strbrd_degc,temp_biometer_degc,temp_infrrd_snsor_port_degc,temp_infrrd_snsor_strbrd_degc,temp_sea_wtr_degc,temp_sea_wtr_high_res_degc,temp_tsg_degc,visibility_owi_km,wnd_dir_port_corr_deg,wnd_dir_port_uncorr_deg,wnd_dir_strbrd_corr_deg,wnd_dir_strbrd_uncorr_deg,wnd_spd_port_corr_knot,wnd_spd_port_uncorr_knot,wnd_spd_strbrd_corr_knot,wnd_spd_strbrd_uncorr_knot,wthr_indictr_code_owi_nounit,wtr_depth_biometr_m,wtr_depth_m,wtr_temp_optode_degc
underway_1200.29740087,29740087,200809020,2008-11-23T10:40:50,20081123104055,MULTIPOINT ((-42.9394 147.3764)),147.3764,-42.9394,177.8,,,,9.9,0.33,0.1,0.01,-0.17,,,1004.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,19.5,187,12,27.1,27.1,26.4,26.4,,,,
underway_1200.29740202,29740202,200809020,2008-11-23T11:00:00,20081123110000,MULTIPOINT ((-42.9964 147.3802)),147.3802,-42.9964,176,,176.0559082,,11.1,0.46,0.01,-0.01,-0.39,,,1004.8,,,40.79994299,,,,2.4354,,,,,,,,,,,,,,,,,66.3,69.8,,,33.68765696,,11.4,11.4,,,,,,14.28854497,,193,16.6,186,9.6,30.2,30.2,29.4,29.4,,,0,
underway_1200.29740322,29740322,200809020,2008-11-23T11:20:00,20081123112000,MULTIPOINT ((-43.06 147.3874)),147.3874,-43.06,177.2,,177.30285645,,12,0.97,-0.45,0.45,-0.14,,,1005.16,,,41.34873528,,,,3.1242,,,,,,,,,,,,,,,,,79.7,76.6,,,34.06788252,,10.5,10.7,,,,,,14.4314205,,196,18.5,189,11.5,26.4,26.4,25.7,25.7,,,16.02,
underway_1200.29740442,29740442,200809020,2008-11-23T11:40:00,20081123114000,MULTIPOINT ((-43.1205 147.4221)),147.4221,-43.1205,155.9,,156.67053223,,11.6,0.84,-0.17,0.62,-1.26,,,1005.1,,,41.45044155,,,,1.3366,,,,,,,,,,,,,,,,,78.1,76.5,,,34.36585947,,10.6,10.7,,,,,,14.20112881,,178,21.3,173,16.7,25.2,25.2,24.3,24.3,,,19.8,
underway_1200.29740562,29740562,200809020,2008-11-23T12:00:00,20081123120000,MULTIPOINT ((-43.1799 147.4557)),147.4557,-43.1799,157,,156.26953125,,11.3,2.22,-1.01,0.46,-1.71,,,1004.91,,,41.49857026,,,,1.9024,,,,,,,,,,,,,,,,,79.1,82.1,,,34.56950895,,10.5,10.5,,,,,,14.02363391,,184,27.4,179,23.2,26.1,26.1,24.8,24.8,,,32.55,
underway_1200.29740682,29740682,200809020,2008-11-23T12:20:00,20081123122000,MULTIPOINT ((-43.2385 147.4906)),147.4906,-43.2385,156.1,,154.89624023,,11.2,3.19,-2.02,0.26,-1.55,,,1004.23,,,41.25046385,,,,2.3698,,,,,,,,,,,,,,,,,70.4,73.2,,,34.79940298,,11.4,11.3,,,,,,13.51340154,,188,32.8,187,32.6,31.9,31.9,30.3,30.3,,,44.21,
underway_1200.29740802,29740802,200809020,2008-11-23T12:40:00,20081123124000,MULTIPOINT ((-43.2974 147.4766)),147.4766,-43.2974,202.8,,200.61035156,,11.8,1.45,-1.16,3.97,-2.63,,,1004.79,,,41.01766352,,,,1.3366,,,,,,,,,,,,,,,,,60,65,,,35.01851947,,11.3,11.3,,,,,,13.03477645,,211,10.8,204,3.1,34.6,34.6,34.2,34.2,,,51.78,
underway_1200.29740922,29740922,200809020,2008-11-23T13:00:00,20081123130000,MULTIPOINT ((-43.3584 147.446)),147.446,-43.3584,198.4,,198.3416748,,11.7,0.25,-0.68,3.62,-1.1,,,1004.7,,,40.97940272,,,,1.23,,,,,,,,,,,,,,,,,64.8,66.3,,,35.00168776,,11,11,,,,,,13.01351364,,208,9.8,200,1.1,31.3,31.3,30.9,30.9,,,58.79,
underway_1200.29741042,29741042,200809020,2008-11-23T13:20:00,20081123132000,MULTIPOINT ((-43.4196 147.4163)),147.4163,-43.4196,199.6,,197.97912598,,11.4,1.1,-1.06,2.47,-3.15,,,1004.09,,,41.00673314,,,,1.2546,,,,,,,,,,,,,,,,,61.7,62.3,,,35.02266793,,10.8,10.7,,,,,,13.01902685,,206,7.7,196,358.2,33,33,32.5,32.5,,,63.24,
underway_1200.29741162,29741162,200809020,2008-11-23T13:40:00,20081123134000,MULTIPOINT ((-43.4793 147.3855)),147.3855,-43.4793,200.2,,199.06677246,,11,0.41,-0.77,2.92,-1.36,,,1004.39,,,41.023122,,,,1.1234,,,,,,,,,,,,,,,,,61.9,64.3,,,34.96988682,,10.6,10.6,,,,,,13.09301833,,214,15,206,7.3,31.7,31.7,30.9,30.9,,,55.6,
